"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA",,,,,,,,,
"Viviendas particulares (001)",2697,64,6,5,17,3,10,6,2586
"Ocupantes presentes (002)",10308,264,22,23,84,9,42,40,9824
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2674,64,5,5,17,3,10,6,2564
"Ocupantes presentes (005)",10213,264,17,23,84,9,42,40,9734
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",18,,1,,,,,,17
"Ocupantes presentes (011)",69,,5,,,,,,64
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2,,,,,,,,2
"Ocupantes presentes (014)",16,,,,,,,,16
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",6,,,,,,,,6
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,,,,,,,,2
"Ocupantes presentes (023)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1683,,1,,9,1,10,3,1659
"Ocupantes presentes (029)",6328,,5,,46,1,42,23,6211
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1660,,,,9,1,10,3,1637
"Ocupantes presentes (032)",6233,,,,46,1,42,23,6121
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",18,,1,,,,,,17
"Ocupantes presentes (038)",69,,5,,,,,,64
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2,,,,,,,,2
"Ocupantes presentes (041)",16,,,,,,,,16
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",6,,,,,,,,6
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,,,,,,,2
"Ocupantes presentes (050)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1014,64,5,5,8,2,,3,927
"Ocupantes presentes (056)",3980,264,17,23,38,8,,17,3613
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1014,64,5,5,8,2,,3,927
"Ocupantes presentes (059)",3980,264,17,23,38,8,,17,3613
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
