"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ICA",,,,,,,,,
"Viviendas particulares (001)",49478,17082,9555,4197,6169,1287,2100,489,8599
"Ocupantes presentes (002)",219765,76684,43802,18579,26726,5810,9501,2140,36523
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",44229,15454,8667,3737,5480,1132,1950,440,7369
"Ocupantes presentes (005)",200102,69887,40161,17020,24351,5300,8961,1968,32454
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1446,91,187,123,164,55,46,13,767
"Ocupantes presentes (008)",4816,374,710,370,534,195,158,41,2434
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",979,100,141,143,246,72,66,25,186
"Ocupantes presentes (011)",3322,372,516,479,794,210,256,99,596
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",360,68,53,62,98,8,21,5,45
"Ocupantes presentes (014)",1231,257,194,198,310,32,66,20,154
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",21,20,,,,,,,1
"Ocupantes presentes (017)",84,81,,,,,,,3
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2341,1316,491,115,167,15,15,6,216
"Ocupantes presentes (020)",9918,5618,2164,464,699,64,53,12,844
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",92,23,16,17,14,5,2,,15
"Ocupantes presentes (023)",262,65,57,48,38,9,7,,38
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",10,10,,,,,,,
"Ocupantes presentes (026)",30,30,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",48922,16644,9535,4194,6120,1282,2100,488,8559
"Ocupantes presentes (029)",217573,74957,43730,18570,26530,5786,9501,2135,36364
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",43696,15038,8647,3734,5431,1127,1950,439,7330
"Ocupantes presentes (032)",198005,68252,40089,17011,24155,5276,8961,1963,32298
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1446,91,187,123,164,55,46,13,767
"Ocupantes presentes (035)",4816,374,710,370,534,195,158,41,2434
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",979,100,141,143,246,72,66,25,186
"Ocupantes presentes (038)",3322,372,516,479,794,210,256,99,596
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",360,68,53,62,98,8,21,5,45
"Ocupantes presentes (041)",1231,257,194,198,310,32,66,20,154
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2341,1316,491,115,167,15,15,6,216
"Ocupantes presentes (047)",9918,5618,2164,464,699,64,53,12,844
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",92,23,16,17,14,5,2,,15
"Ocupantes presentes (050)",262,65,57,48,38,9,7,,38
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",8,8,,,,,,,
"Ocupantes presentes (053)",19,19,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",556,438,20,3,49,5,,1,40
"Ocupantes presentes (056)",2192,1727,72,9,196,24,,5,159
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",533,416,20,3,49,5,,1,39
"Ocupantes presentes (059)",2097,1635,72,9,196,24,,5,156
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",21,20,,,,,,,1
"Ocupantes presentes (071)",84,81,,,,,,,3
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",2,2,,,,,,,
"Ocupantes presentes (080)",11,11,,,,,,,
