"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",19,17,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",4,4,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",2,1,1
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",7,7,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,3,1
