"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia FERREÑAFE (000)",69304,17697,8424,2149,41109
"Conviviente (001)",18588,5349,1000,284,11963
"Separado(a) (002)",2309,465,215,68,1566
"Casado(a) (003)",20051,3769,4261,935,11126
"Viudo(a) (004)",2704,432,628,101,1544
"Divorciado(a) (005)",223,46,45,13,119
"Soltero(a) (006)",25429,7636,2275,748,14791
"Hombres (008)",34009,7605,4013,1193,21248
"Conviviente (009)",8892,1938,511,162,6289
"Separado(a) (010)",569,58,75,32,406
"Casado(a) (011)",9839,1507,2114,527,5722
"Viudo(a) (012)",692,72,186,41,393
"Divorciado(a) (013)",89,9,21,11,48
"Soltero(a) (014)",13928,4021,1106,420,8390
"Mujeres (016)",35295,10092,4411,956,19861
"Conviviente (017)",9696,3411,489,122,5674
"Separado(a) (018)",1740,407,140,36,1160
"Casado(a) (019)",10212,2262,2147,408,5404
"Viudo(a) (020)",2012,360,442,60,1151
"Divorciado(a) (021)",134,37,24,2,71
"Soltero(a) (022)",11501,3615,1169,328,6401
,,,,,
"URBANA (024)",39469,6484,7056,1930,24063
"Conviviente (025)",8250,1551,818,244,5644
"Separado(a) (026)",1590,229,193,63,1110
"Casado(a) (027)",12688,1511,3501,819,6892
"Viudo(a) (028)",1487,124,498,88,778
"Divorciado(a) (029)",143,18,42,12,71
"Soltero(a) (030)",15311,3051,2004,704,9568
"Hombres (032)",19014,2590,3307,1054,12103
"Conviviente (033)",3875,477,402,135,2868
"Separado(a) (034)",414,29,68,27,292
"Casado(a) (035)",6179,547,1721,461,3476
"Viudo(a) (036)",410,20,144,32,214
"Divorciado(a) (037)",70,5,19,10,36
"Soltero(a) (038)",8066,1512,953,389,5217
"Mujeres (040)",20455,3894,3749,876,11960
"Conviviente (041)",4375,1074,416,109,2776
"Separado(a) (042)",1176,200,125,36,818
"Casado(a) (043)",6509,964,1780,358,3416
"Viudo(a) (044)",1077,104,354,56,564
"Divorciado(a) (045)",73,13,23,2,35
"Soltero(a) (046)",7245,1539,1051,315,4351
,,,,,
"RURAL (048)",29835,11213,1368,219,17046
"Conviviente (049)",10338,3798,182,40,6319
"Separado(a) (050)",719,236,22,5,456
"Casado(a) (051)",7363,2258,760,116,4234
"Viudo(a) (052)",1217,308,130,13,766
"Divorciado(a) (053)",80,28,3,1,48
"Soltero(a) (054)",10118,4585,271,44,5223
"Hombres (056)",14995,5015,706,139,9145
"Conviviente (057)",5017,1461,109,27,3421
"Separado(a) (058)",155,29,7,5,114
"Casado(a) (059)",3660,960,393,66,2246
"Viudo(a) (060)",282,52,42,9,179
"Divorciado(a) (061)",19,4,2,1,12
"Soltero(a) (062)",5862,2509,153,31,3173
"Mujeres (064)",14840,6198,662,80,7901
"Conviviente (065)",5321,2337,73,13,2898
"Separado(a) (066)",564,207,15,,342
"Casado(a) (067)",3703,1298,367,50,1988
"Viudo(a) (068)",935,256,88,4,587
"Divorciado(a) (069)",61,24,1,,36
"Soltero(a) (070)",4256,2076,118,13,2050
