"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CONDESUYOS",,,,,,,,,
"Viviendas particulares (001)",2395,897,271,415,317,7,4,5,479
"Ocupantes presentes (002)",7636,2676,912,1390,1090,23,9,14,1522
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2329,870,266,396,315,7,4,5,466
"Ocupantes presentes (005)",7469,2600,894,1343,1086,23,9,14,1500
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",8,1,1,4,,,,,2
"Ocupantes presentes (011)",34,3,4,23,,,,,4
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",40,16,4,15,2,,,,3
"Ocupantes presentes (014)",92,47,14,24,4,,,,3
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2,,,,,,,,2
"Ocupantes presentes (017)",7,,,,,,,,7
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",11,9,,,,,,,2
"Ocupantes presentes (020)",27,25,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",5,1,,,,,,,4
"Ocupantes presentes (023)",7,1,,,,,,,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1876,717,227,400,194,7,4,5,322
"Ocupantes presentes (029)",5889,2054,769,1328,684,23,9,14,1008
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1812,690,222,381,192,7,4,5,311
"Ocupantes presentes (032)",5729,1978,751,1281,680,23,9,14,993
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",8,1,1,4,,,,,2
"Ocupantes presentes (038)",34,3,4,23,,,,,4
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",40,16,4,15,2,,,,3
"Ocupantes presentes (041)",92,47,14,24,4,,,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",11,9,,,,,,,2
"Ocupantes presentes (047)",27,25,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",5,1,,,,,,,4
"Ocupantes presentes (050)",7,1,,,,,,,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",519,180,44,15,123,,,,157
"Ocupantes presentes (056)",1747,622,143,62,406,,,,514
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",517,180,44,15,123,,,,155
"Ocupantes presentes (059)",1740,622,143,62,406,,,,507
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2,,,,,,,,2
"Ocupantes presentes (071)",7,,,,,,,,7
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
