"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PUERTO INCA (000)",7097,791,6306
"Red pública de desague dentro de la vivienda (001)",39,29,10
"Red pública de desague fuera de la vivienda (002)",36,32,4
"Pozo séptico (003)",428,110,318
"Pozo ciego o negro / letrina (004)",3360,428,2932
"Río, acequia o canal (005)",449,117,332
"No tiene (006)",2785,75,2710
,,,
"URBANA (008)",1338,612,726
"Red pública de desague dentro de la vivienda (009)",34,29,5
"Red pública de desague fuera de la vivienda (010)",33,32,1
"Pozo séptico (011)",235,107,128
"Pozo ciego o negro / letrina (012)",778,302,476
"Río, acequia o canal (013)",143,103,40
"No tiene (014)",115,39,76
,,,
"RURAL (016)",5759,179,5580
"Red pública de desague dentro de la vivienda (017)",5,,5
"Red pública de desague fuera de la vivienda (018)",3,,3
"Pozo séptico (019)",193,3,190
"Pozo ciego o negro / letrina (020)",2582,126,2456
"Río, acequia o canal (021)",306,14,292
"No tiene (022)",2670,36,2634
