"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PISCO (000)",96280,13013,19328,20477,16837,11728,14897
"Católica (001)",81353,10970,16176,17198,14296,10011,12702
"Cristiana/Evangélica (002)",10214,1408,2009,2227,1741,1205,1624
"Otra (003)",2784,373,564,553,502,361,431
"Ninguna (004)",1929,262,579,499,298,151,140
"Hombres (006)",48909,6626,10089,10236,8347,5855,7756
"Católica (007)",41591,5609,8439,8641,7139,5031,6732
"Cristiana/Evangélica (008)",4770,671,1006,1013,785,563,732
"Otra (009)",1310,204,274,255,222,162,193
"Ninguna (010)",1238,142,370,327,201,99,99
"Mujeres (012)",47371,6387,9239,10241,8490,5873,7141
"Católica (013)",39762,5361,7737,8557,7157,4980,5970
"Cristiana/Evangélica (014)",5444,737,1003,1214,956,642,892
"Otra (015)",1474,169,290,298,280,199,238
"Ninguna (016)",691,120,209,172,97,52,41
,,,,,,,
"URBANA (018)",84394,11372,16823,17960,15009,10451,12779
"Católica (019)",71600,9598,14122,15110,12794,8969,11007
"Cristiana/Evangélica (020)",8522,1199,1699,1893,1474,1000,1257
"Otra (021)",2616,358,511,529,468,349,401
"Ninguna (022)",1656,217,491,428,273,133,114
"Hombres (024)",42479,5761,8669,8903,7369,5193,6584
"Católica (025)",36288,4892,7302,7521,6322,4480,5771
"Cristiana/Evangélica (026)",3916,565,819,857,653,472,550
"Otra (027)",1217,191,240,244,207,156,179
"Ninguna (028)",1058,113,308,281,187,85,84
"Mujeres (030)",41915,5611,8154,9057,7640,5258,6195
"Católica (031)",35312,4706,6820,7589,6472,4489,5236
"Cristiana/Evangélica (032)",4606,634,880,1036,821,528,707
"Otra (033)",1399,167,271,285,261,193,222
"Ninguna (034)",598,104,183,147,86,48,30
,,,,,,,
"RURAL (036)",11886,1641,2505,2517,1828,1277,2118
"Católica (037)",9753,1372,2054,2088,1502,1042,1695
"Cristiana/Evangélica (038)",1692,209,310,334,267,205,367
"Otra (039)",168,15,53,24,34,12,30
"Ninguna (040)",273,45,88,71,25,18,26
"Hombres (042)",6430,865,1420,1333,978,662,1172
"Católica (043)",5303,717,1137,1120,817,551,961
"Cristiana/Evangélica (044)",854,106,187,156,132,91,182
"Otra (045)",93,13,34,11,15,6,14
"Ninguna (046)",180,29,62,46,14,14,15
"Mujeres (048)",5456,776,1085,1184,850,615,946
"Católica (049)",4450,655,917,968,685,491,734
"Cristiana/Evangélica (050)",838,103,123,178,135,114,185
"Otra (051)",75,2,19,13,19,6,16
"Ninguna (052)",93,16,26,25,11,4,11
