"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ABANCAY (000)",24837,564,10348,7167,2606,906,376,110,13,,2747
"Sin Nivel (001)",5705,237,2783,1432,398,173,112,52,6,,512
"Educación Inicial (002)",35,,22,6,1,1,,,,,5
"Primaria (003)",6875,234,3808,1696,432,156,84,23,2,,440
"Secundaria (004)",6222,69,2784,2001,524,147,57,12,,,628
"Sup. no Univ. Incompleta (005)",882,4,235,323,119,24,6,2,,,169
"Sup. no Univ. Completa (006)",1496,6,231,552,362,108,21,5,2,,209
"Sup. Univ. Incompleta (007)",1309,4,225,476,164,47,14,2,,,377
"Sup. Univ. Completa (008)",2313,10,260,681,606,250,82,14,3,,407
,,,,,,,,,,,
"URBANA (010)",15536,285,5443,4716,2033,706,292,77,7,,1977
"Sin Nivel (011)",1996,96,883,455,156,76,61,29,1,,239
"Educación Inicial (012)",12,,6,1,1,,,,,,4
"Primaria (013)",3367,122,1703,885,257,108,64,15,1,,212
"Secundaria (014)",4468,46,1950,1450,418,115,48,11,,,430
"Sup. no Univ. Incompleta (015)",792,4,219,286,107,21,6,2,,,147
"Sup. no Univ. Completa (016)",1428,6,220,527,351,102,21,5,2,,194
"Sup. Univ. Incompleta (017)",1249,3,214,458,155,45,13,2,,,359
"Sup. Univ. Completa (018)",2224,8,248,654,588,239,79,13,3,,392
,,,,,,,,,,,
"RURAL (020)",9301,279,4905,2451,573,200,84,33,6,,770
"Sin Nivel (021)",3709,141,1900,977,242,97,51,23,5,,273
"Educación Inicial (022)",23,,16,5,,1,,,,,1
"Primaria (023)",3508,112,2105,811,175,48,20,8,1,,228
"Secundaria (024)",1754,23,834,551,106,32,9,1,,,198
"Sup. no Univ. Incompleta (025)",90,,16,37,12,3,,,,,22
"Sup. no Univ. Completa (026)",68,,11,25,11,6,,,,,15
"Sup. Univ. Incompleta (027)",60,1,11,18,9,2,1,,,,18
"Sup. Univ. Completa (028)",89,2,12,27,18,11,3,1,,,15
