"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CONDORCANQUI (000)",22561,12315,157,53,7940,318,54,27,165,1532
"Hombres (001)",10469,6556,145,29,2589,142,25,21,165,797
"Mujeres (002)",12092,5759,12,24,5351,176,29,6,,735
"De 06 a 14 años (003)",11894,10336,,,377,278,13,11,,879
"Hombres (004)",5997,5309,,,144,129,4,8,,403
"Mujeres (005)",5897,5027,,,233,149,9,3,,476
"De 15 a 29 años (006)",6413,1946,106,21,3845,,18,9,165,303
"Hombres (007)",2857,1231,105,14,1156,,6,7,165,173
"Mujeres (008)",3556,715,1,7,2689,,12,2,,130
"De 30 a 44 años (009)",2451,28,6,22,2209,,13,5,,168
"Hombres (010)",891,13,3,9,742,,7,4,,113
"Mujeres (011)",1560,15,3,13,1467,,6,1,,55
"De 45 a 64 años (012)",1455,5,32,8,1249,8,10,2,,141
"Hombres (013)",583,3,26,5,452,1,8,2,,86
"Mujeres (014)",872,2,6,3,797,7,2,,,55
"De 65 y más años (015)",348,,13,2,260,32,,,,41
"Hombres (016)",141,,11,1,95,12,,,,22
"Mujeres (017)",207,,2,1,165,20,,,,19
,,,,,,,,,,
"AREA URBANA (018)",3648,2278,124,20,1094,31,5,4,1,91
"Hombres (019)",1682,1238,123,13,238,17,2,3,1,47
"Mujeres (020)",1966,1040,1,7,856,14,3,1,,44
"De 06 a 14 años (021)",1750,1648,,,42,26,2,1,,31
"Hombres (022)",866,827,,,13,15,,1,,10
"Mujeres (023)",884,821,,,29,11,2,,,21
"De 15 a 29 años (024)",1255,618,105,6,495,,1,1,1,28
"Hombres (025)",620,404,105,5,89,,1,,1,15
"Mujeres (026)",635,214,,1,406,,,1,,13
"De 30 a 44 años (027)",364,12,4,7,323,,2,2,,14
"Hombres (028)",99,7,3,3,73,,1,2,,10
"Mujeres (029)",265,5,1,4,250,,1,,,4
"De 45 a 64 años (030)",235,,13,5,203,,,,,14
"Hombres (031)",80,,13,4,53,,,,,10
"Mujeres (032)",155,,,1,150,,,,,4
"De 65 y más años (033)",44,,2,2,31,5,,,,4
"Hombres (034)",17,,2,1,10,2,,,,2
"Mujeres (035)",27,,,1,21,3,,,,2
,,,,,,,,,,
"AREA RURAL (036)",18913,10037,33,33,6846,287,49,23,164,1441
"Hombres (037)",8787,5318,22,16,2351,125,23,18,164,750
"Mujeres (038)",10126,4719,11,17,4495,162,26,5,,691
"De 06 a 14 años (039)",10144,8688,,,335,252,11,10,,848
"Hombres (040)",5131,4482,,,131,114,4,7,,393
"Mujeres (041)",5013,4206,,,204,138,7,3,,455
"De 15 a 29 años (042)",5158,1328,1,15,3350,,17,8,164,275
"Hombres (043)",2237,827,,9,1067,,5,7,164,158
"Mujeres (044)",2921,501,1,6,2283,,12,1,,117
"De 30 a 44 años (045)",2087,16,2,15,1886,,11,3,,154
"Hombres (046)",792,6,,6,669,,6,2,,103
"Mujeres (047)",1295,10,2,9,1217,,5,1,,51
"De 45 a 64 años (048)",1220,5,19,3,1046,8,10,2,,127
"Hombres (049)",503,3,13,1,399,1,8,2,,76
"Mujeres (050)",717,2,6,2,647,7,2,,,51
"De 65 y más años (051)",304,,11,,229,27,,,,37
"Hombres (052)",124,,9,,85,10,,,,20
"Mujeres (053)",180,,2,,144,17,,,,17
