"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BONGARA (000)",25783,3340,733,13645,5868,392,811,341,653
"Quechua (001)",26,6,,12,4,3,,,1
"Aymara (002)",6,,,2,1,2,1,,
"Ashaninca (003)",5,1,1,1,1,,,1,
"Otra lengua nativa (004)",16,8,,3,4,1,,,
"Castellano (005)",25644,3260,729,13622,5856,386,809,340,642
"Idioma extranjero (006)",13,1,,,2,,1,,9
"Es sordomudo/a (007)",73,64,3,5,,,,,1
"Hombres (009)",13305,1305,385,6953,3378,242,441,196,405
"Quechua (010)",17,4,,7,2,3,,,1
"Aymara (011)",2,,,,1,,1,,
"Ashaninca (012)",1,,,,1,,,,
"Otra lengua nativa (013)",13,6,,2,4,1,,,
"Castellano (014)",13226,1260,385,6940,3370,238,440,196,397
"Idioma extranjero (015)",7,1,,,,,,,6
"Es sordomudo/a (016)",39,34,,4,,,,,1
"Mujeres (018)",12478,2035,348,6692,2490,150,370,145,248
"Quechua (019)",9,2,,5,2,,,,
"Aymara (020)",4,,,2,,2,,,
"Ashaninca (021)",4,1,1,1,,,,1,
"Otra lengua nativa (022)",3,2,,1,,,,,
"Castellano (023)",12418,2000,344,6682,2486,148,369,144,245
"Idioma extranjero (024)",6,,,,2,,1,,3
"Es sordomudo/a (025)",34,30,3,1,,,,,
,,,,,,,,,
"URBANA (027)",15555,1455,412,7589,4335,345,705,238,476
"Quechua (028)",15,1,,7,4,3,,,
"Aymara (029)",6,,,2,1,2,1,,
"Ashaninca (030)",3,,1,1,,,,1,
"Otra lengua nativa (031)",12,4,,3,4,1,,,
"Castellano (032)",15473,1421,409,7573,4324,339,703,237,467
"Idioma extranjero (033)",12,1,,,2,,1,,8
"Es sordomudo/a (034)",34,28,2,3,,,,,1
"Hombres (036)",7948,554,210,3723,2433,213,385,145,285
"Quechua (037)",10,1,,4,2,3,,,
"Aymara (038)",2,,,,1,,1,,
"Otra lengua nativa (040)",10,3,,2,4,1,,,
"Castellano (041)",7901,533,210,3715,2426,209,384,145,279
"Idioma extranjero (042)",6,1,,,,,,,5
"Es sordomudo/a (043)",19,16,,2,,,,,1
"Mujeres (045)",7607,901,202,3866,1902,132,320,93,191
"Quechua (046)",5,,,3,2,,,,
"Aymara (047)",4,,,2,,2,,,
"Ashaninca (048)",3,,1,1,,,,1,
"Otra lengua nativa (049)",2,1,,1,,,,,
"Castellano (050)",7572,888,199,3858,1898,130,319,92,188
"Idioma extranjero (051)",6,,,,2,,1,,3
"Es sordomudo/a (052)",15,12,2,1,,,,,
,,,,,,,,,
"RURAL (054)",10228,1885,321,6056,1533,47,106,103,177
"Quechua (055)",11,5,,5,,,,,1
"Ashaninca (057)",2,1,,,1,,,,
"Otra lengua nativa (058)",4,4,,,,,,,
"Castellano (059)",10171,1839,320,6049,1532,47,106,103,175
"Idioma extranjero (060)",1,,,,,,,,1
"Es sordomudo/a (061)",39,36,1,2,,,,,
"Hombres (063)",5357,751,175,3230,945,29,56,51,120
"Quechua (064)",7,3,,3,,,,,1
"Ashaninca (066)",1,,,,1,,,,
"Otra lengua nativa (067)",3,3,,,,,,,
"Castellano (068)",5325,727,175,3225,944,29,56,51,118
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",20,18,,2,,,,,
"Mujeres (072)",4871,1134,146,2826,588,18,50,52,57
"Quechua (073)",4,2,,2,,,,,
"Ashaninca (075)",1,1,,,,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",4846,1112,145,2824,588,18,50,52,57
"Es sordomudo/a (079)",19,18,1,,,,,,
