"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YUNGAY (000)",16646,14106,855,606,1079
"Empleado (001)",1816,419,194,288,915
"Obrero (002)",2613,1804,351,299,159
"Trabajador independiente (003)",9385,9195,190,,
"Empleador o patrono (004)",230,167,52,11,
"Trabajador familiar no remunerado (005)",2348,2267,68,8,5
"Trabajador del hogar (006)",254,254,,,
"De 06 a 14 años (008)",316,301,14,1,
"Empleado (009)",4,4,,,
"Obrero (010)",30,24,5,1,
"Trabajador independiente (011)",34,32,2,,
"Trabajador familiar no remunerado (013)",244,237,7,,
"Trabajador del hogar (014)",4,4,,,
"De 15 a 29 años (016)",5335,4531,317,219,268
"Empleado (017)",499,162,51,70,216
"Obrero (018)",1068,730,148,140,50
"Trabajador independiente (019)",2328,2262,66,,
"Empleador o patrono (020)",32,19,8,5,
"Trabajador familiar no remunerado (021)",1274,1224,44,4,2
"Trabajador del hogar (022)",134,134,,,
"De 30 a 44 años (024)",5527,4385,310,247,585
"Empleado (025)",914,173,104,135,502
"Obrero (026)",839,538,113,107,81
"Trabajador independiente (027)",3163,3103,60,,
"Empleador o patrono (028)",86,59,23,4,
"Trabajador familiar no remunerado (029)",463,450,10,1,2
"Trabajador del hogar (030)",62,62,,,
"De 45 a 64 años (032)",3991,3468,182,128,213
"Empleado (033)",376,71,39,79,187
"Obrero (034)",542,402,70,44,26
"Trabajador independiente (035)",2685,2635,50,,
"Empleador o patrono (036)",76,58,16,2,
"Trabajador familiar no remunerado (037)",274,264,7,3,
"Trabajador del hogar (038)",38,38,,,
"De 65 y más años (040)",1477,1421,32,11,13
"Empleado (041)",23,9,,4,10
"Obrero (042)",134,110,15,7,2
"Trabajador independiente (043)",1175,1163,12,,
"Empleador o patrono (044)",36,31,5,,
"Trabajador familiar no remunerado (045)",93,92,,,1
"Trabajador del hogar (046)",16,16,,,
,,,,,
"URBANA (048)",5065,3592,351,309,813
"Empleado (049)",1347,297,143,207,700
"Obrero (050)",777,478,95,94,110
"Trabajador independiente (051)",2240,2166,74,,
"Empleador o patrono (052)",127,101,20,6,
"Trabajador familiar no remunerado (053)",414,390,19,2,3
"Trabajador del hogar (054)",160,160,,,
"De 06 a 14 años (056)",68,63,5,,
"Empleado (057)",4,4,,,
