"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TRUJILLO (000)",725738,135367,238302,167390,130675,54004
"Hombres (001)",348618,68671,115755,78901,60638,24653
"Mujeres (002)",377120,66696,122547,88489,70037,29351
"PEA (003)",329463,3468,116734,118161,79436,11664
"Hombres (004)",205624,2343,71531,72410,50897,8443
"Mujeres (005)",123839,1125,45203,45751,28539,3221
"Ocupada (006)",316229,3308,109670,114569,77366,11316
"Hombres (007)",197197,2234,67346,70197,49279,8141
"Mujeres (008)",119032,1074,42324,44372,28087,3175
"Desocupada (009)",13234,160,7064,3592,2070,348
"Hombres (010)",8427,109,4185,2213,1618,302
"Mujeres (011)",4807,51,2879,1379,452,46
"No PEA (012)",396275,131899,121568,49229,51239,42340
"Hombres (013)",142994,66328,44224,6491,9741,16210
"Mujeres (014)",253281,65571,77344,42738,41498,26130
,,,,,,
"URBANA (018)",708527,131520,232871,163562,127860,52714
"Hombres (019)",339691,66696,112910,76941,59180,23964
"Mujeres (020)",368836,64824,119961,86621,68680,28750
"PEA (021)",322007,3301,114077,115780,77706,11143
"Hombres (022)",199755,2209,69470,70547,49532,7997
"Mujeres (023)",122252,1092,44607,45233,28174,3146
"Ocupada (024)",309049,3154,107167,112244,75680,10804
"Hombres (025)",191548,2113,65396,68380,47955,7704
"Mujeres (026)",117501,1041,41771,43864,27725,3100
"Desocupada (027)",12958,147,6910,3536,2026,339
"Hombres (028)",8207,96,4074,2167,1577,293
"Mujeres (029)",4751,51,2836,1369,449,46
"No PEA (030)",386520,128219,118794,47782,50154,41571
"Hombres (031)",139936,64487,43440,6394,9648,15967
"Mujeres (032)",246584,63732,75354,41388,40506,25604
,,,,,,
"RURAL (036)",17211,3847,5431,3828,2815,1290
"Hombres (037)",8927,1975,2845,1960,1458,689
"Mujeres (038)",8284,1872,2586,1868,1357,601
"PEA (039)",7456,167,2657,2381,1730,521
"Hombres (040)",5869,134,2061,1863,1365,446
"Mujeres (041)",1587,33,596,518,365,75
"Ocupada (042)",7180,154,2503,2325,1686,512
"Hombres (043)",5649,121,1950,1817,1324,437
"Mujeres (044)",1531,33,553,508,362,75
"Desocupada (045)",276,13,154,56,44,9
"Hombres (046)",220,13,111,46,41,9
"Mujeres (047)",56,,43,10,3,
"No PEA (048)",9755,3680,2774,1447,1085,769
"Hombres (049)",3058,1841,784,97,93,243
"Mujeres (050)",6697,1839,1990,1350,992,526
