"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHANCHAMAYO (000)",146650,38437,47240,33015,21251,6707
"Sin nivel (001)",12178,1360,925,3214,4161,2518
"Educación inicial (002)",2218,2062,91,65,,
"Primaria (003)",60434,28093,9676,11200,8594,2871
"Secundaria (004)",52086,6922,27992,11194,5141,837
"Superior no univ. incompleta (005)",5418,,3320,1407,620,71
"Superior no univ. completa (006)",4930,,1944,2039,828,119
"Superior univ. incompleta (007)",3550,,1913,1046,499,92
"Superior univ. completa (008)",5836,,1379,2850,1408,199
"PEA (010)",66015,1521,24258,22746,14343,3147
"Sin nivel (011)",4844,53,366,1563,1973,889
"Educación inicial (012)",81,23,35,23,,
"Primaria (013)",20650,966,5315,6998,5794,1577
"Secundaria (014)",26426,479,13531,8129,3845,442
"Superior no univ. incompleta (015)",3322,,1695,1103,490,34
"Superior no univ. completa (016)",3797,,1417,1669,658,53
"Superior univ. incompleta (017)",2180,,873,851,407,49
"Superior univ. completa (018)",4715,,1026,2410,1176,103
"Ocupada (020)",64233,1471,23254,22282,14126,3100
"Sin nivel (021)",4744,48,354,1527,1939,876
"Educación inicial (022)",78,23,32,23,,
"Primaria (023)",20242,938,5162,6868,5717,1557
"Secundaria (024)",25542,462,12941,7930,3778,431
"Superior no univ. incompleta (025)",3211,,1618,1079,480,34
"Superior no univ. completa (026)",3684,,1334,1648,649,53
"Superior univ. incompleta (027)",2120,,833,838,402,47
