"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia SAN MARTIN",,,,,,,,
"Hogares (001)",38322,25026,25136,12043,5252,13107,6049,5674
"Ocupantes presentes (002)",157756,105795,105377,51304,22615,55648,25547,21164
"Casa independiente",,,,,,,,
"Hogares (004)",34144,22644,23175,11307,5019,12475,5649,4732
"Ocupantes presentes (005)",143666,97336,99034,48840,21670,53313,24310,18071
"Departamento en edificio",,,,,,,,
"Hogares (007)",259,160,215,114,65,140,109,21
"Ocupantes presentes (008)",781,534,673,401,276,511,368,50
"Vivienda en quinta",,,,,,,,
"Hogares (010)",2058,1084,1316,468,125,359,236,397
"Ocupantes presentes (011)",5945,3295,4096,1495,511,1291,689,987
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",418,212,275,95,34,89,38,80
"Ocupantes presentes (014)",1358,734,948,327,121,361,121,228
"Choza o cabaña",,,,,,,,
"Hogares (016)",1130,779,21,15,1,8,4,340
"Ocupantes presentes (017)",4909,3359,89,82,6,37,21,1510
"Vivienda improvisada",,,,,,,,
"Hogares (019)",215,96,92,24,5,22,3,73
"Ocupantes presentes (020)",811,369,387,90,18,95,11,256
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",73,38,36,19,3,13,10,21
"Ocupantes presentes (023)",227,134,133,66,13,38,27,43
"Otro tipo",,,,,,,,
"Hogares (025)",25,13,6,1,,1,,10
"Ocupantes presentes (026)",59,34,17,3,,2,,19
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",34816,22477,24784,11896,5236,13017,6028,4818
"Ocupantes presentes (029)",142969,94934,103831,50630,22543,55263,25449,17692
"Casa independiente",,,,,,,,
"Hogares (031)",31773,20877,22844,11175,5004,12393,5632,4218
"Ocupantes presentes (032)",133796,89840,97577,48248,21604,52965,24233,16111
"Departamento en edificio",,,,,,,,
"Hogares (034)",259,160,215,114,65,140,109,21
"Ocupantes presentes (035)",781,534,673,401,276,511,368,50
"Vivienda en quinta",,,,,,,,
"Hogares (037)",2058,1084,1316,468,125,359,236,397
"Ocupantes presentes (038)",5945,3295,4096,1495,511,1291,689,987
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",418,212,275,95,34,89,38,80
"Ocupantes presentes (041)",1358,734,948,327,121,361,121,228
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",215,96,92,24,5,22,3,73
"Ocupantes presentes (047)",811,369,387,90,18,95,11,256
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",70,36,36,19,3,13,10,20
"Ocupantes presentes (050)",222,130,133,66,13,38,27,42
"Otro tipo",,,,,,,,
"Hogares (052)",23,12,6,1,,1,,9
"Ocupantes presentes (053)",56,32,17,3,,2,,18
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",3506,2549,352,147,16,90,21,856
"Ocupantes presentes (056)",14787,10861,1546,674,72,385,98,3472
"Casa independiente",,,,,,,,
"Hogares (058)",2371,1767,331,132,15,82,17,514
"Ocupantes presentes (059)",9870,7496,1457,592,66,348,77,1960
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1130,779,21,15,1,8,4,340
"Ocupantes presentes (071)",4909,3359,89,82,6,37,21,1510
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",3,2,,,,,,1
"Ocupantes presentes (077)",5,4,,,,,,1
"Otro tipo",,,,,,,,
"Hogares (079)",2,1,,,,,,1
"Ocupantes presentes (080)",3,2,,,,,,1
