"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ISLAY (000)",13934,11919,2015
"Red pública dentro de la vivienda (001)",10304,9748,556
"Red pública fuera de la vivienda (002)",528,470,58
"Pilón de uso público (003)",1106,530,576
"Camión - cisterna u otro similar (004)",121,89,32
"Pozo (005)",424,275,149
"Río, acequia, manatial o similar (006)",1077,633,444
"Vecino (007)",245,135,110
"Otro (008)",129,39,90
,,,
"URBANA (010)",12559,11152,1407
"Red pública dentro de la vivienda (011)",9934,9502,432
"Red pública fuera de la vivienda (012)",473,419,54
"Pilón de uso público (013)",1032,473,559
"Camión - cisterna u otro similar (014)",81,63,18
"Pozo (015)",178,144,34
"Río, acequia, manatial o similar (016)",522,392,130
"Vecino (017)",232,129,103
"Otro (018)",107,30,77
,,,
"RURAL (020)",1375,767,608
"Red pública dentro de la vivienda (021)",370,246,124
"Red pública fuera de la vivienda (022)",55,51,4
"Pilón de uso público (023)",74,57,17
"Camión - cisterna u otro similar (024)",40,26,14
"Pozo (025)",246,131,115
"Río, acequia, manatial o similar (026)",555,241,314
"Vecino (027)",13,6,7
"Otro (028)",22,9,13
