"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia BAGUA",,,,,,,
"Viviendas particulares (001)",16885,3000,167,426,12096,524,672
"Ocupantes presentes (002)",71362,10195,703,1767,53342,2223,3132
"Casa independiente",,,,,,,
"Viviendas particulares (004)",13480,2313,166,416,9645,373,567
"Ocupantes presentes (005)",56368,8367,696,1720,41385,1522,2678
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",68,56,,,11,1,
"Ocupantes presentes (008)",189,148,,,40,1,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",439,377,,3,46,5,8
"Ocupantes presentes (011)",1253,1012,,8,187,12,34
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",225,195,,2,22,1,5
"Ocupantes presentes (014)",637,502,,18,92,1,24
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2631,41,1,5,2361,135,88
"Ocupantes presentes (017)",12771,112,7,21,11596,662,373
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",9,5,,,1,1,2
"Ocupantes presentes (020)",40,15,,,7,5,13
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",23,12,,,4,7,
"Ocupantes presentes (023)",71,38,,,18,15,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",10,1,,,6,1,2
"Ocupantes presentes (026)",33,1,,,17,5,10
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",8480,2509,161,381,5105,133,191
"Ocupantes presentes (029)",33172,8467,667,1562,21283,458,735
"Casa independiente",,,,,,,
"Viviendas particulares (031)",7713,1863,161,376,5018,119,176
"Ocupantes presentes (032)",30975,6751,667,1536,20936,421,664
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",68,56,,,11,1,
"Ocupantes presentes (035)",189,148,,,40,1,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",439,377,,3,46,5,8
"Ocupantes presentes (038)",1253,1012,,8,187,12,34
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",225,195,,2,22,1,5
"Ocupantes presentes (041)",637,502,,18,92,1,24
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",9,5,,,1,1,2
"Ocupantes presentes (047)",40,15,,,7,5,13
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",21,12,,,4,5,
"Ocupantes presentes (050)",69,38,,,18,13,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",5,1,,,3,1,
"Ocupantes presentes (053)",9,1,,,3,5,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",8405,491,6,45,6991,391,481
"Ocupantes presentes (056)",38190,1728,36,205,32059,1765,2397
"Casa independiente",,,,,,,
"Viviendas particulares (058)",5767,450,5,40,4627,254,391
"Ocupantes presentes (059)",25393,1616,29,184,20449,1101,2014
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2631,41,1,5,2361,135,88
"Ocupantes presentes (071)",12771,112,7,21,11596,662,373
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,,2,
"Ocupantes presentes (077)",2,,,,,2,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",5,,,,3,,2
"Ocupantes presentes (080)",24,,,,14,,10
