"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia AREQUIPA (000)",244803,3036,8640,18620,32023,47454,66742,68288
"De 12 a 14 años (001)",190,,,,,,3,187
"De 15 a 19 años (002)",2887,,,,,,1614,1273
"De 20 a 24 años (003)",19305,,,,,42,9006,10257
"De 25 a 29 años (004)",28626,,,,,1290,15582,11754
"De 30 a 34 años (005)",31714,,,,14,5088,17358,9254
"De 35 a 39 años (006)",30530,,,,392,9734,13510,6894
"De 40 a 44 años (007)",27687,,,5,2417,12275,7240,5750
"De 45 a 49 años (008)",23528,,,197,6053,10625,2133,4520
"De 50 y más años (009)",80336,3036,8640,18418,23147,8400,296,18399
"PEA (010)",111976,99,811,4305,14294,27276,31403,33788
"De 12 a 14 años (011)",22,,,,,,,22
"De 15 a 19 años (012)",831,,,,,,455,376
"De 20 a 24 años (013)",8261,,,,,25,3438,4798
"De 25 a 29 años (014)",14562,,,,,766,6834,6962
"De 30 a 34 años (015)",17075,,,,8,3000,8372,5695
"De 35 a 39 años (016)",17434,,,,251,5830,7086,4267
"De 40 a 44 años (017)",16205,,,4,1427,7317,3909,3548
"De 45 a 49 años (018)",13512,,,101,3412,6093,1149,2757
"De 50 y más años (019)",24074,99,811,4200,9196,4245,160,5363
"Ocupada (020)",106569,99,789,4208,13867,26170,29625,31811
"De 12 a 14 años (021)",18,,,,,,,18
"De 15 a 19 años (022)",745,,,,,,400,345
"De 20 a 24 años (023)",7544,,,,,25,3127,4392
"De 25 a 29 años (024)",13557,,,,,713,6406,6438
"De 30 a 34 años (025)",16144,,,,8,2848,7941,5347
"De 35 a 39 años (026)",16610,,,,241,5564,6756,4049
"De 40 a 44 años (027)",15523,,,4,1369,7025,3744,3381
"De 45 a 49 años (028)",13039,,,97,3308,5888,1100,2646
"De 50 y más años (029)",23389,99,789,4107,8941,4107,151,5195
"Desocupada (030)",5407,,22,97,427,1106,1778,1977
"De 12 a 14 años (031)",4,,,,,,,4
"De 15 a 19 años (032)",86,,,,,,55,31
"De 20 a 24 años (033)",717,,,,,,311,406
"De 25 a 29 años (034)",1005,,,,,53,428,524
"De 30 a 34 años (035)",931,,,,,152,431,348
"De 35 a 39 años (036)",824,,,,10,266,330,218
"De 40 a 44 años (037)",682,,,,58,292,165,167
"De 45 a 49 años (038)",473,,,4,104,205,49,111
"De 50 y más años (039)",685,,22,93,255,138,9,168
"No PEA (040)",132827,2937,7829,14315,17729,20178,35339,34500
"De 12 a 14 años (041)",168,,,,,,3,165
"De 15 a 19 años (042)",2056,,,,,,1159,897
"De 20 a 24 años (043)",11044,,,,,17,5568,5459
