"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia AIJA (000)",4747,4607,140
"Hombres (001)",2340,2295,45
"Mujeres (002)",2407,2312,95
"De 18 a 29 años (003)",1263,1222,41
"Hombres (004)",632,611,21
"Mujeres (005)",631,611,20
"De 30 a 44 años (006)",1343,1331,12
"Hombres (007)",680,673,7
"Mujeres (008)",663,658,5
"De 45 a 64 años (009)",1232,1212,20
"Hombres (010)",597,591,6
"Mujeres (011)",635,621,14
"De 65 y más años (012)",909,842,67
"Hombres (013)",431,420,11
"Mujeres (014)",478,422,56
,,,
"URBANA (015)",1615,1578,37
"Hombres (016)",786,773,13
"Mujeres (017)",829,805,24
"De 18 a 29 años (018)",377,370,7
"Hombres (019)",180,177,3
"Mujeres (020)",197,193,4
"De 30 a 44 años (021)",449,442,7
"Hombres (022)",221,217,4
"Mujeres (023)",228,225,3
"De 45 a 64 años (024)",430,426,4
"Hombres (025)",206,205,1
"Mujeres (026)",224,221,3
"De 65 y más años (027)",359,340,19
"Hombres (028)",179,174,5
"Mujeres (029)",180,166,14
,,,
"RURAL (030)",3132,3029,103
"Hombres (031)",1554,1522,32
"Mujeres (032)",1578,1507,71
"De 18 a 29 años (033)",886,852,34
"Hombres (034)",452,434,18
"Mujeres (035)",434,418,16
"De 30 a 44 años (036)",894,889,5
"Hombres (037)",459,456,3
"Mujeres (038)",435,433,2
"De 45 a 64 años (039)",802,786,16
"Hombres (040)",391,386,5
"Mujeres (041)",411,400,11
"De 65 y más años (042)",550,502,48
"Hombres (043)",252,246,6
"Mujeres (044)",298,256,42
