"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PALLASCA (000)",7379,75,3014,2536,696,269,109,49,5,,626
"Conviviente (001)",2568,29,1177,878,198,69,22,7,,,188
"Separado(a) (002)",204,1,75,73,31,7,3,1,,,13
"Casado(a) (003)",2793,22,1132,1009,287,106,43,23,5,,166
"Viudo(a) (004)",758,13,304,261,66,29,14,9,,,62
"Divorciado(a) (005)",32,,11,13,1,2,,1,,,4
"Soltero(a) (006)",1024,10,315,302,113,56,27,8,,,193
,,,,,,,,,,,
"URBANA (008)",3992,41,1532,1376,426,168,71,30,4,,344
"Conviviente (009)",1268,12,554,437,109,42,12,4,,,98
"Separado(a) (010)",154,1,50,59,26,5,2,1,,,10
"Casado(a) (011)",1562,16,598,565,183,59,28,12,4,,97
"Viudo(a) (012)",429,8,175,137,39,21,11,6,,,32
"Divorciado(a) (013)",25,,8,10,1,2,,1,,,3
"Soltero(a) (014)",554,4,147,168,68,39,18,6,,,104
,,,,,,,,,,,
"RURAL (016)",3387,34,1482,1160,270,101,38,19,1,,282
"Conviviente (017)",1300,17,623,441,89,27,10,3,,,90
"Separado(a) (018)",50,,25,14,5,2,1,,,,3
"Casado(a) (019)",1231,6,534,444,104,47,15,11,1,,69
"Viudo(a) (020)",329,5,129,124,27,8,3,3,,,30
"Divorciado(a) (021)",7,,3,3,,,,,,,1
"Soltero(a) (022)",470,6,168,134,45,17,9,2,,,89
