"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia URUBAMBA (000)",20840,19099,5736,2462,2483,2008,2870,1874,1666,1741
"Católica (001)",19152,17822,5300,2278,2306,1870,2707,1775,1586,1330
"Cristiana/Evangélica (002)",1101,947,308,113,131,109,135,86,65,154
"Otra (003)",276,195,78,40,24,16,19,8,10,81
"Ninguna (004)",311,135,50,31,22,13,9,5,5,176
,,,,,,,,,,
"URBANA (006)",10611,9244,2877,1475,1385,1019,1203,696,589,1367
"Católica (007)",9528,8550,2617,1353,1283,945,1128,658,566,978
"Cristiana/Evangélica (008)",570,432,147,66,65,50,58,30,16,138
"Otra (009)",231,154,69,32,20,13,14,4,2,77
"Ninguna (010)",282,108,44,24,17,11,3,4,5,174
,,,,,,,,,,
"RURAL (012)",10229,9855,2859,987,1098,989,1667,1178,1077,374
"Católica (013)",9624,9272,2683,925,1023,925,1579,1117,1020,352
"Cristiana/Evangélica (014)",531,515,161,47,66,59,77,56,49,16
"Otra (015)",45,41,9,8,4,3,5,4,8,4
"Ninguna (016)",29,27,6,7,5,2,6,1,,2
