"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ESPINAR (000)",15834,145,5461,5635,1666,535,188,63,8,,2133
"Catolica (001)",11248,100,3795,4025,1227,389,144,45,7,,1516
"Cristiana / Evangelica (002)",1772,13,623,657,171,54,22,6,,,226
"Otra (003)",2324,29,872,784,224,78,21,12,1,,303
"Ninguna (004)",490,3,171,169,44,14,1,,,,88
,,,,,,,,,,,
"URBANA (006)",6825,60,2223,2322,724,257,111,30,2,,1096
"Catolica (007)",4917,43,1591,1654,553,196,86,22,2,,770
"Cristiana / Evangelica (008)",626,6,205,234,56,17,9,1,,,98
"Otra (009)",1064,9,360,360,96,37,16,7,,,179
"Ninguna (010)",218,2,67,74,19,7,,,,,49
,,,,,,,,,,,
"RURAL (012)",9009,85,3238,3313,942,278,77,33,6,,1037
"Catolica (013)",6331,57,2204,2371,674,193,58,23,5,,746
"Cristiana / Evangelica (014)",1146,7,418,423,115,37,13,5,,,128
"Otra (015)",1260,20,512,424,128,41,5,5,1,,124
"Ninguna (016)",272,1,104,95,25,7,1,,,,39
