"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CANAS (000)",38293,20398,1243,184,16497
"Menos de 1 año (001)",717,620,17,2,78
"De 1 a 14 años (002)",14493,11141,432,27,2901
"De 15 a 29 años (003)",8256,3158,178,32,4891
"De 30 a 44 años (004)",6359,2328,319,67,3654
"De 45 a 64 años (005)",5483,2041,234,41,3175
"De 65 y mas años (006)",2985,1110,63,15,1798
"Hombres (008)",19170,9895,694,125,8480
"Menos de 1 año (009)",368,319,9,,40
"De 1 a 14 años (010)",7519,5729,234,13,1549
"De 15 a 29 años (011)",4193,1419,89,26,2662
"De 30 a 44 años (012)",3104,988,182,48,1895
"De 45 a 64 años (013)",2646,944,142,29,1537
"De 65 y mas años (014)",1340,496,38,9,797
"Mujeres (016)",19123,10503,549,59,8017
"Menos de 1 año (017)",349,301,8,2,38
"De 1 a 14 años (018)",6974,5412,198,14,1352
"De 15 a 29 años (019)",4063,1739,89,6,2229
"De 30 a 44 años (020)",3255,1340,137,19,1759
"De 45 a 64 años (021)",2837,1097,92,12,1638
"De 65 y mas años (022)",1645,614,25,6,1001
,,,,,
"URBANA (024)",6156,1957,679,113,3412
"Menos de 1 año (025)",114,84,4,2,24
"De 1 a 14 años (026)",2083,1254,206,17,608
"De 15 a 29 años (027)",1578,321,108,21,1129
"De 30 a 44 años (028)",1222,132,191,41,858
"De 45 a 64 años (029)",773,101,135,24,515
"De 65 y mas años (030)",386,65,35,8,278
"Hombres (032)",3082,966,366,79,1674
"Menos de 1 año (033)",50,40,2,,8
"De 1 a 14 años (034)",1068,643,104,8,314
"De 15 a 29 años (035)",812,152,57,17,587
"De 30 a 44 años (036)",604,48,104,31,421
"De 45 a 64 años (037)",386,50,83,17,237
"De 65 y mas años (038)",162,33,16,6,107
"Mujeres (040)",3074,991,313,34,1738
"Menos de 1 año (041)",64,44,2,2,16
"De 1 a 14 años (042)",1015,611,102,9,294
"De 15 a 29 años (043)",766,169,51,4,542
"De 30 a 44 años (044)",618,84,87,10,437
"De 45 a 64 años (045)",387,51,52,7,278
"De 65 y mas años (046)",224,32,19,2,171
,,,,,
"RURAL (048)",32137,18441,564,71,13085
"Menos de 1 año (049)",603,536,13,,54
"De 1 a 14 años (050)",12410,9887,226,10,2293
"De 15 a 29 años (051)",6678,2837,70,11,3762
"De 30 a 44 años (052)",5137,2196,128,26,2796
"De 45 a 64 años (053)",4710,1940,99,17,2660
"De 65 y mas años (054)",2599,1045,28,7,1520
"Hombres (056)",16088,8929,328,46,6806
"Menos de 1 año (057)",318,279,7,,32
"De 1 a 14 años (058)",6451,5086,130,5,1235
"De 15 a 29 años (059)",3381,1267,32,9,2075
"De 30 a 44 años (060)",2500,940,78,17,1474
"De 45 a 64 años (061)",2260,894,59,12,1300
"De 65 y mas años (062)",1178,463,22,3,690
"Mujeres (064)",16049,9512,236,25,6279
"Menos de 1 año (065)",285,257,6,,22
"De 1 a 14 años (066)",5959,4801,96,5,1058
"De 15 a 29 años (067)",3297,1570,38,2,1687
"De 30 a 44 años (068)",2637,1256,50,9,1322
"De 45 a 64 años (069)",2450,1046,40,5,1360
"De 65 y mas años (070)",1421,582,6,4,830
