"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BONGARA (000)",27465,495,8839,7166,5521,3724,1720
"Hombres (001)",14148,260,4486,3809,2850,1950,793
"Mujeres (002)",13317,235,4353,3357,2671,1774,927
"Viviendas particulares (003)",26676,493,8778,6827,5280,3601,1697
"Hombres (004)",13542,258,4456,3525,2671,1853,779
"Mujeres (005)",13134,235,4322,3302,2609,1748,918
"Viviendas colectivas (006)",231,,3,172,45,10,1
"Hombres (007)",211,,1,162,40,8,
"Mujeres (008)",20,,2,10,5,2,1
"Otro tipo (009)",558,2,58,167,196,113,22
"Hombres (010)",395,2,29,122,139,89,14
"Mujeres (011)",163,,29,45,57,24,8
,,,,,,,
"URBANA (012)",16460,272,4972,4194,3521,2393,1108
"Hombres (013)",8416,146,2527,2214,1780,1252,497
"Mujeres (014)",8044,126,2445,1980,1741,1141,611
"Viviendas particulares (015)",15732,270,4911,3884,3306,2276,1085
"Hombres (016)",7862,144,2497,1952,1625,1161,483
"Mujeres (017)",7870,126,2414,1932,1681,1115,602
"Viviendas colectivas (018)",170,,3,143,19,4,1
"Hombres (019)",159,,1,140,16,2,
"Mujeres (020)",11,,2,3,3,2,1
"Otro tipo (021)",558,2,58,167,196,113,22
"Hombres (022)",395,2,29,122,139,89,14
"Mujeres (023)",163,,29,45,57,24,8
,,,,,,,
"RURAL (024)",11005,223,3867,2972,2000,1331,612
"Hombres (025)",5732,114,1959,1595,1070,698,296
"Mujeres (026)",5273,109,1908,1377,930,633,316
"Viviendas particulares (027)",10944,223,3867,2943,1974,1325,612
"Hombres (028)",5680,114,1959,1573,1046,692,296
"Mujeres (029)",5264,109,1908,1370,928,633,316
"Viviendas colectivas (030)",61,,,29,26,6,
"Hombres (031)",52,,,22,24,6,
"Mujeres (032)",9,,,7,2,,
