"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUALGAYOC (000)",84392,18071,4853,1088,60511
"Quechua (001)",58,4,27,4,23
"Aymara (002)",23,7,5,5,9
"Asháninka (003)",6,3,1,2,2
"Otra lengua nativa (004)",11,1,,1,9
"Castellano (005)",84089,18030,4816,1070,60295
"Idioma Extranjero (006)",9,,4,6,3
"Es Sordomudo/a (007)",196,26,,,170
"Hombres (009)",40851,8908,2885,701,28468
"Quechua (010)",44,1,26,4,13
"Aymara (011)",8,1,5,1,1
"Asháninka (012)",4,2,,2,2
"Otra lengua nativa (013)",9,1,,1,7
"Castellano (014)",40689,8892,2850,687,28365
"Idioma Extranjero (015)",8,,4,6,2
"Es Sordomudo/a (016)",89,11,,,78
"Mujeres (018)",43541,9163,1968,387,32043
"Quechua (019)",14,3,1,,10
"Aymara (020)",15,6,,4,8
"Asháninka (021)",2,1,1,,
"Otra lengua nativa (022)",2,,,,2
"Castellano (023)",43400,9138,1966,383,31930
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",107,15,,,92
,,,,,
"URBANA (027)",19308,2197,3648,642,12931
"Quechua (028)",46,2,26,3,15
"Aymara (029)",13,1,5,1,6
"Asháninka (030)",3,1,1,,1
"Otra lengua nativa (031)",9,1,,1,7
"Castellano (032)",19210,2188,3612,631,12885
"Idioma Extranjero (033)",7,,4,6,1
"Es Sordomudo/a (034)",20,4,,,16
"Hombres (036)",9880,1069,2180,420,6307
"Quechua (037)",37,1,25,3,8
"Aymara (038)",6,,5,1,
"Asháninka (039)",1,,,,1
"Otra lengua nativa (040)",8,1,,1,6
"Castellano (041)",9811,1065,2146,409,6283
"Idioma Extranjero (042)",7,,4,6,1
"Es Sordomudo/a (043)",10,2,,,8
"Mujeres (045)",9428,1128,1468,222,6624
"Quechua (046)",9,1,1,,7
"Aymara (047)",7,1,,,6
"Asháninka (048)",2,1,1,,
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",9399,1123,1466,222,6602
"Es Sordomudo/a (052)",10,2,,,8
,,,,,
"RURAL (054)",65084,15874,1205,446,47580
"Quechua (055)",12,2,1,1,8
"Aymara (056)",10,6,,4,3
"Asháninka (057)",3,2,,2,1
"Otra lengua nativa (058)",2,,,,2
"Castellano (059)",64879,15842,1204,439,47410
"Idioma Extranjero (060)",2,,,,2
"Es Sordomudo/a (061)",176,22,,,154
"Hombres (063)",30971,7839,705,281,22161
"Quechua (064)",7,,1,1,5
"Aymara (065)",2,1,,,1
"Asháninka (066)",3,2,,2,1
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",30878,7827,704,278,22082
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",79,9,,,70
"Mujeres (072)",34113,8035,500,165,25419
"Quechua (073)",5,2,,,3
"Aymara (074)",8,5,,4,2
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",34001,8015,500,161,25328
"Idioma Extranjero (078)",1,,,,1
"Es Sordomudo/a (079)",97,13,,,84
