"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASUNCION (000)",2278,1781,149,217,131
"Empleado (001)",449,151,69,149,80
"Obrero (002)",431,261,55,66,49
"Trabajador independiente (003)",1067,1046,21,,
"Empleador o patrono (004)",43,38,1,2,2
"Trabajador familiar no remunerado (005)",219,216,3,,
"Trabajador del hogar (006)",69,69,,,
"De 06 a 14 años (008)",24,22,1,1,
"Empleado (009)",2,2,,,
"Obrero (010)",2,1,,1,
"Trabajador independiente (011)",4,4,,,
"Trabajador familiar no remunerado (013)",15,14,1,,
"Trabajador del hogar (014)",1,1,,,
"De 15 a 29 años (016)",646,489,46,57,54
"Empleado (017)",101,34,13,27,27
"Obrero (018)",165,86,24,29,26
"Trabajador independiente (019)",233,225,8,,
"Empleador o patrono (020)",8,6,,1,1
"Trabajador familiar no remunerado (021)",106,105,1,,
"Trabajador del hogar (022)",33,33,,,
"De 30 a 44 años (024)",846,585,71,126,64
"Empleado (025)",260,76,42,98,44
"Obrero (026)",166,100,20,27,19
"Trabajador independiente (027)",352,344,8,,
"Empleador o patrono (028)",14,12,,1,1
"Trabajador familiar no remunerado (029)",39,38,1,,
"Trabajador del hogar (030)",15,15,,,
"De 45 a 64 años (032)",555,483,30,32,10
"Empleado (033)",85,38,14,24,9
"Obrero (034)",73,54,10,8,1
"Trabajador independiente (035)",332,327,5,,
"Empleador o patrono (036)",14,13,1,,
"Trabajador familiar no remunerado (037)",38,38,,,
"Trabajador del hogar (038)",13,13,,,
"De 65 y más años (040)",207,202,1,1,3
"Empleado (041)",1,1,,,
"Obrero (042)",25,20,1,1,3
"Trabajador independiente (043)",146,146,,,
"Empleador o patrono (044)",7,7,,,
"Trabajador familiar no remunerado (045)",21,21,,,
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",821,492,72,156,101
"Empleado (049)",329,104,39,116,70
"Obrero (050)",161,70,23,39,29
"Trabajador independiente (051)",247,237,10,,
"Empleador o patrono (052)",11,8,,1,2
"Trabajador familiar no remunerado (053)",48,48,,,
"Trabajador del hogar (054)",25,25,,,
"De 06 a 14 años (056)",11,10,,1,
"Empleado (057)",2,2,,,
"Obrero (058)",2,1,,1,
"Trabajador independiente (059)",1,1,,,
