"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN MARTIN (000)",42994,274,1012,2582,4985,9156,14145,10840
"De 12 a 14 años (001)",74,,,,,,10,64
"De 15 a 19 años (002)",1616,,,,,,937,679
"De 20 a 24 años (003)",4848,,,,,15,2794,2039
"De 25 a 29 años (004)",5481,,,,,381,3269,1831
"De 30 a 34 años (005)",5529,,,,4,1064,3127,1334
"De 35 a 39 años (006)",5615,,,,119,1982,2448,1066
"De 40 a 44 años (007)",4913,,,3,479,2370,1180,881
"De 45 a 49 años (008)",3868,,,35,1013,1877,335,608
"De 50 y más años (009)",11050,274,1012,2544,3370,1467,45,2338
"PEA (010)",18318,22,140,704,2180,4806,5650,4816
"De 12 a 14 años (011)",10,,,,,,,10
"De 15 a 19 años (012)",395,,,,,,250,145
"De 20 a 24 años (013)",1739,,,,,3,884,852
"De 25 a 29 años (014)",2338,,,,,180,1193,965
"De 30 a 34 años (015)",2709,,,,2,562,1402,743
"De 35 a 39 años (016)",2877,,,,70,1068,1141,598
"De 40 a 44 años (017)",2683,,,3,249,1341,594,496
"De 45 a 49 años (018)",2047,,,9,543,1006,161,328
"De 50 y más años (019)",3520,22,140,692,1316,646,25,679
"Ocupada (020)",17910,22,138,694,2150,4722,5514,4670
"De 12 a 14 años (021)",10,,,,,,,10
"De 15 a 19 años (022)",379,,,,,,239,140
"De 20 a 24 años (023)",1671,,,,,3,851,817
"De 25 a 29 años (024)",2259,,,,,172,1158,929
"De 30 a 34 años (025)",2643,,,,2,546,1378,717
"De 35 a 39 años (026)",2813,,,,69,1040,1120,584
"De 40 a 44 años (027)",2638,,,3,242,1325,585,483
"De 45 a 49 años (028)",2019,,,9,534,996,159,321
"De 50 y más años (029)",3478,22,138,682,1303,640,24,669
"Desocupada (030)",408,,2,10,30,84,136,146
"De 15 a 19 años (032)",16,,,,,,11,5
"De 20 a 24 años (033)",68,,,,,,33,35
"De 25 a 29 años (034)",79,,,,,8,35,36
"De 30 a 34 años (035)",66,,,,,16,24,26
"De 35 a 39 años (036)",64,,,,1,28,21,14
"De 40 a 44 años (037)",45,,,,7,16,9,13
"De 45 a 49 años (038)",28,,,,9,10,2,7
"De 50 y más años (039)",42,,2,10,13,6,1,10
"No PEA (040)",24676,252,872,1878,2805,4350,8495,6024
"De 12 a 14 años (041)",64,,,,,,10,54
"De 15 a 19 años (042)",1221,,,,,,687,534
"De 20 a 24 años (043)",3109,,,,,12,1910,1187
"De 25 a 29 años (044)",3143,,,,,201,2076,866
"De 30 a 34 años (045)",2820,,,,2,502,1725,591
