"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AZANGARO (000)",119679,30976,34912,22560,19817,11414
"Hombres (001)",57855,15706,17037,10506,9302,5304
"Mujeres (002)",61824,15270,17875,12054,10515,6110
"PEA (003)",43712,642,13439,13920,11487,4224
"Hombres (004)",26676,340,7853,8601,7206,2676
"Mujeres (005)",17036,302,5586,5319,4281,1548
"Ocupada (006)",39030,584,10831,12628,10909,4078
"Hombres (007)",23145,308,6073,7524,6692,2548
"Mujeres (008)",15885,276,4758,5104,4217,1530
"Desocupada (009)",4682,58,2608,1292,578,146
"Hombres (010)",3531,32,1780,1077,514,128
"Mujeres (011)",1151,26,828,215,64,18
"No PEA (012)",75967,30334,21473,8640,8330,7190
"Hombres (013)",31179,15366,9184,1905,2096,2628
"Mujeres (014)",44788,14968,12289,6735,6234,4562
,,,,,,
"URBANA (018)",32920,8236,10707,7110,4811,2056
"Hombres (019)",16324,4195,5292,3345,2524,968
"Mujeres (020)",16596,4041,5415,3765,2287,1088
"PEA (021)",11178,137,3480,4293,2769,499
"Hombres (022)",6966,78,2076,2636,1867,309
"Mujeres (023)",4212,59,1404,1657,902,190
"Ocupada (024)",9738,122,2719,3840,2593,464
"Hombres (025)",5909,73,1560,2279,1717,280
"Mujeres (026)",3829,49,1159,1561,876,184
"Desocupada (027)",1440,15,761,453,176,35
"Hombres (028)",1057,5,516,357,150,29
"Mujeres (029)",383,10,245,96,26,6
"No PEA (030)",21742,8099,7227,2817,2042,1557
"Hombres (031)",9358,4117,3216,709,657,659
"Mujeres (032)",12384,3982,4011,2108,1385,898
,,,,,,
"RURAL (036)",86759,22740,24205,15450,15006,9358
"Hombres (037)",41531,11511,11745,7161,6778,4336
"Mujeres (038)",45228,11229,12460,8289,8228,5022
"PEA (039)",32534,505,9959,9627,8718,3725
"Hombres (040)",19710,262,5777,5965,5339,2367
"Mujeres (041)",12824,243,4182,3662,3379,1358
"Ocupada (042)",29292,462,8112,8788,8316,3614
"Hombres (043)",17236,235,4513,5245,4975,2268
"Mujeres (044)",12056,227,3599,3543,3341,1346
"Desocupada (045)",3242,43,1847,839,402,111
"Hombres (046)",2474,27,1264,720,364,99
"Mujeres (047)",768,16,583,119,38,12
"No PEA (048)",54225,22235,14246,5823,6288,5633
"Hombres (049)",21821,11249,5968,1196,1439,1969
"Mujeres (050)",32404,10986,8278,4627,4849,3664
