"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BONGARA (000)",10293,231,3456,3567,2345,694
"Agric., ganadería, caza y silvicultura (001)",5972,181,2017,1815,1418,541
"Pesca (002)",9,1,4,4,,
"Explotación de minas y canteras (003)",67,1,29,29,8,
"Industrias manufactureras (004)",274,6,82,107,65,14
"Suministro de electricidad, gas y agua (005)",6,,3,2,1,
"Construcción (006)",414,5,139,183,81,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1069,15,292,411,288,63
"Venta, mant.y rep. veh.autom.y motoc. (008)",75,,29,30,14,2
"Comercio al por mayor (009)",58,,21,23,11,3
"Comercio al por menor (010)",936,15,242,358,263,58
"Hoteles y restaurantes (011)",199,3,67,76,44,9
"Trans., almac. y comunicaciones (012)",439,,188,163,82,6
"Intermediación financiera (013)",5,,3,1,1,
"Activid.inmobil., empres. y alquileres (014)",181,,71,72,36,2
"Admin.pub. y defensa; p. segur.soc afil (015)",246,,72,119,51,4
"Enseñanza (016)",425,,62,261,100,2
"Servicios sociales y de salud (017)",110,,33,58,19,
"Otras activ. serv.comun.soc y personales (018)",120,,45,47,25,3
"Hogares privados con servicio doméstico (019)",181,3,99,38,34,7
"Actividad economica no especificada (021)",320,1,118,109,62,30
"Desocupado (022)",256,15,132,72,30,7
"Hombres (023)",7692,183,2669,2581,1739,520
"Agric., ganadería, caza y silvicultura (024)",5045,152,1783,1518,1155,437
"Pesca (025)",9,1,4,4,,
"Explotación de minas y canteras (026)",60,1,24,27,8,
"Industrias manufactureras (027)",206,5,68,77,45,11
"Suministro de electricidad, gas y agua (028)",6,,3,2,1,
"Construcción (029)",406,5,134,181,80,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",558,8,164,192,164,30
"Venta, mant.y rep. veh.autom.y motoc. (031)",73,,28,30,13,2
"Comercio al por mayor (032)",35,,11,14,8,2
"Comercio al por menor (033)",450,8,125,148,143,26
"Hoteles y restaurantes (034)",36,,9,14,8,5
"Trans., almac. y comunicaciones (035)",423,,176,160,81,6
"Intermediación financiera (036)",3,,1,1,1,
"Activid.inmobil., empres. y alquileres (037)",145,,50,62,31,2
"Admin.pub. y defensa; p. segur.soc afil (038)",185,,45,89,47,4
"Enseñanza (039)",172,,14,107,49,2
"Servicios sociales y de salud (040)",50,,13,27,10,
"Otras activ. serv.comun.soc y personales (041)",79,,28,30,18,3
