"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ANTA (000)",537,168,369
"Sin nivel (001)",40,5,35
"Primaria (003)",150,41,109
"Secundaria (004)",270,94,176
"Superior no univ. incompleta (005)",21,9,12
"Superior no univ. completa (006)",27,11,16
"Superior univ. incompleta (007)",12,2,10
"Superior univ. completa (008)",17,6,11
"Hombres (010)",384,116,268
"Sin nivel (011)",22,3,19
"Primaria (013)",118,31,87
"Secundaria (014)",196,65,131
"Superior no univ. incompleta (015)",13,5,8
"Superior no univ. completa (016)",17,8,9
"Superior univ. incompleta (017)",10,1,9
"Superior univ. completa (018)",8,3,5
"Mujeres (020)",153,52,101
"Sin nivel (021)",18,2,16
"Primaria (023)",32,10,22
"Secundaria (024)",74,29,45
"Superior no univ. incompleta (025)",8,4,4
"Superior no univ. completa (026)",10,3,7
"Superior univ. incompleta (027)",2,1,1
"Superior univ. completa (028)",9,3,6
,,,
"AREA URBANA (030)",273,82,191
"Sin nivel (031)",17,2,15
"Primaria (033)",79,20,59
"Secundaria (034)",118,40,78
"Superior no univ. incompleta (035)",17,6,11
"Superior no univ. completa (036)",18,9,9
"Superior univ. incompleta (037)",12,2,10
"Superior univ. completa (038)",12,3,9
"Hombres (040)",187,53,134
"Sin nivel (041)",6,1,5
"Primaria (043)",59,13,46
"Secundaria (044)",85,27,58
"Superior no univ. incompleta (045)",10,3,7
"Superior no univ. completa (046)",10,6,4
"Superior univ. incompleta (047)",10,1,9
"Superior univ. completa (048)",7,2,5
"Mujeres (050)",86,29,57
"Sin nivel (051)",11,1,10
"Primaria (053)",20,7,13
"Secundaria (054)",33,13,20
"Superior no univ. incompleta (055)",7,3,4
"Superior no univ. completa (056)",8,3,5
"Superior univ. incompleta (057)",2,1,1
"Superior univ. completa (058)",5,1,4
,,,
"AREA RURAL (060)",264,86,178
"Sin nivel (061)",23,3,20
"Primaria (063)",71,21,50
"Secundaria (064)",152,54,98
"Superior no univ. incompleta (065)",4,3,1
"Superior no univ. completa (066)",9,2,7
"Superior univ. completa (068)",5,3,2
"Hombres (070)",197,63,134
"Sin nivel (071)",16,2,14
"Primaria (073)",59,18,41
"Secundaria (074)",111,38,73
"Superior no univ. incompleta (075)",3,2,1
"Superior no univ. completa (076)",7,2,5
"Superior univ. completa (078)",1,1,
"Mujeres (080)",67,23,44
"Sin nivel (081)",7,1,6
"Primaria (083)",12,3,9
"Secundaria (084)",41,16,25
"Superior no univ. incompleta (085)",1,1,
"Superior no univ. completa (086)",2,,2
"Superior univ. completa (088)",4,2,2
