"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ZARUMILLA (000)",14393,13505,3716,2399,2325,1740,1758,752,815,888
"Católica (001)",11787,11036,3020,2025,1922,1427,1414,595,633,751
"Cristiana/Evangélica (002)",1921,1834,497,265,288,236,272,119,157,87
"Otra (003)",402,371,124,46,58,44,50,29,20,31
"Ninguna (004)",283,264,75,63,57,33,22,9,5,19
,,,,,,,,,,
"URBANA (006)",13172,12349,3411,2220,2117,1639,1611,671,680,823
"Católica (007)",10824,10125,2778,1867,1762,1347,1305,531,535,699
"Cristiana/Evangélica (008)",1720,1642,449,250,251,217,244,105,126,78
"Otra (009)",367,338,110,44,52,44,45,27,16,29
"Ninguna (010)",261,244,74,59,52,31,17,8,3,17
,,,,,,,,,,
"RURAL (012)",1221,1156,305,179,208,101,147,81,135,65
"Católica (013)",963,911,242,158,160,80,109,64,98,52
"Cristiana/Evangélica (014)",201,192,48,15,37,19,28,14,31,9
"Otra (015)",35,33,14,2,6,,5,2,4,2
"Ninguna (016)",22,20,1,4,5,2,5,1,2,2
