"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ASUNCION (000)",8508,2397,294,2934,2072,154,392,98,167
"Quechua (001)",6854,2104,188,2428,1670,97,238,44,85
"Aymara (002)",3,1,,2,,,,,
"Otra lengua nativa (004)",24,2,,7,5,1,2,3,4
"Castellano (005)",1564,259,104,493,394,54,145,44,71
"Idioma extranjero (006)",27,,2,1,1,2,7,7,7
"Es sordomudo/a (007)",36,31,,3,2,,,,
"Hombres (009)",4103,833,162,1537,1082,105,255,52,77
"Quechua (010)",3247,682,106,1274,881,69,171,21,43
"Otra lengua nativa (013)",11,2,,3,1,,2,1,2
"Castellano (014)",809,130,54,258,198,35,79,25,30
"Idioma extranjero (015)",15,,2,1,1,1,3,5,2
"Es sordomudo/a (016)",21,19,,1,1,,,,
"Mujeres (018)",4405,1564,132,1397,990,49,137,46,90
"Quechua (019)",3607,1422,82,1154,789,28,67,23,42
"Aymara (020)",3,1,,2,,,,,
"Otra lengua nativa (022)",13,,,4,4,1,,2,2
"Castellano (023)",755,129,50,235,196,19,66,19,41
"Idioma extranjero (024)",12,,,,,1,4,2,5
"Es sordomudo/a (025)",15,12,,2,1,,,,
,,,,,,,,,
"URBANA (027)",2128,314,82,590,568,93,286,71,124
"Quechua (028)",956,139,6,273,279,46,142,21,50
"Otra lengua nativa (031)",23,1,,7,5,1,2,3,4
"Castellano (032)",1113,167,74,309,281,44,135,40,63
"Idioma extranjero (033)",27,,2,1,1,2,7,7,7
"Es sordomudo/a (034)",9,7,,,2,,,,
"Hombres (036)",1079,128,44,295,278,67,174,36,57
"Quechua (037)",473,38,2,128,136,36,99,9,25
"Otra lengua nativa (040)",10,1,,3,1,,2,1,2
"Castellano (041)",576,85,40,163,139,30,70,21,28
"Idioma extranjero (042)",15,,2,1,1,1,3,5,2
"Es sordomudo/a (043)",5,4,,,1,,,,
"Mujeres (045)",1049,186,38,295,290,26,112,35,67
"Quechua (046)",483,101,4,145,143,10,43,12,25
"Otra lengua nativa (049)",13,,,4,4,1,,2,2
"Castellano (050)",537,82,34,146,142,14,65,19,35
"Idioma extranjero (051)",12,,,,,1,4,2,5
"Es sordomudo/a (052)",4,3,,,1,,,,
,,,,,,,,,
"RURAL (054)",6380,2083,212,2344,1504,61,106,27,43
"Quechua (055)",5898,1965,182,2155,1391,51,96,23,35
"Aymara (056)",3,1,,2,,,,,
"Otra lengua nativa (058)",1,1,,,,,,,
"Castellano (059)",451,92,30,184,113,10,10,4,8
"Es sordomudo/a (061)",27,24,,3,,,,,
"Hombres (063)",3024,705,118,1242,804,38,81,16,20
"Quechua (064)",2774,644,104,1146,745,33,72,12,18
"Otra lengua nativa (067)",1,1,,,,,,,
"Castellano (068)",233,45,14,95,59,5,9,4,2
"Es sordomudo/a (070)",16,15,,1,,,,,
"Mujeres (072)",3356,1378,94,1102,700,23,25,11,23
"Quechua (073)",3124,1321,78,1009,646,18,24,11,17
"Aymara (074)",3,1,,2,,,,,
"Castellano (077)",218,47,16,89,54,5,1,,6
"Es sordomudo/a (079)",11,9,,2,,,,,
