"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia JORGE BASADRE (000)",3244,1561,30,34,1198,24,4,7,282,104
"Hombres (001)",1332,796,17,14,147,6,4,5,282,61
"Mujeres (002)",1912,765,13,20,1051,18,,2,,43
"De 06 a 14 años (003)",1186,1154,,,18,6,,1,,7
"Hombres (004)",604,592,,,5,2,,1,,4
"Mujeres (005)",582,562,,,13,4,,,,3
"De 15 a 29 años (006)",1076,393,,3,357,,2,3,282,36
"Hombres (007)",560,202,,,48,,2,2,282,24
"Mujeres (008)",516,191,,3,309,,,1,,12
"De 30 a 44 años (009)",470,9,,9,429,,1,,,22
"Hombres (010)",54,1,,3,33,,1,,,16
"Mujeres (011)",416,8,,6,396,,,,,6
"De 45 a 64 años (012)",313,3,12,10,274,,1,,,13
"Hombres (013)",56,1,5,6,38,,1,,,5
"Mujeres (014)",257,2,7,4,236,,,,,8
"De 65 y más años (015)",199,2,18,12,120,18,,3,,26
"Hombres (016)",58,,12,5,23,4,,2,,12
"Mujeres (017)",141,2,6,7,97,14,,1,,14
,,,,,,,,,,
"AREA URBANA (018)",2214,984,21,18,816,13,4,1,280,77
"Hombres (019)",956,495,13,7,109,3,4,1,280,44
"Mujeres (020)",1258,489,8,11,707,10,,,,33
"De 06 a 14 años (021)",734,710,,,15,5,,1,,3
"Hombres (022)",370,360,,,5,2,,1,,2
"Mujeres (023)",364,350,,,10,3,,,,1
"De 15 a 29 años (024)",819,265,,1,238,,2,,280,33
"Hombres (025)",475,133,,,38,,2,,280,22
"Mujeres (026)",344,132,,1,200,,,,,11
"De 30 a 44 años (027)",343,7,,5,312,,1,,,18
"Hombres (028)",44,1,,2,27,,1,,,13
"Mujeres (029)",299,6,,3,285,,,,,5
"De 45 a 64 años (030)",224,2,8,7,197,,1,,,9
"Hombres (031)",42,1,5,4,29,,1,,,2
"Mujeres (032)",182,1,3,3,168,,,,,7
"De 65 y más años (033)",94,,13,5,54,8,,,,14
"Hombres (034)",25,,8,1,10,1,,,,5
"Mujeres (035)",69,,5,4,44,7,,,,9
,,,,,,,,,,
"AREA RURAL (036)",1030,577,9,16,382,11,,6,2,27
"Hombres (037)",376,301,4,7,38,3,,4,2,17
"Mujeres (038)",654,276,5,9,344,8,,2,,10
"De 06 a 14 años (039)",452,444,,,3,1,,,,4
"Hombres (040)",234,232,,,,,,,,2
"Mujeres (041)",218,212,,,3,1,,,,2
"De 15 a 29 años (042)",257,128,,2,119,,,3,2,3
"Hombres (043)",85,69,,,10,,,2,2,2
"Mujeres (044)",172,59,,2,109,,,1,,1
"De 30 a 44 años (045)",127,2,,4,117,,,,,4
"Hombres (046)",10,,,1,6,,,,,3
"Mujeres (047)",117,2,,3,111,,,,,1
"De 45 a 64 años (048)",89,1,4,3,77,,,,,4
"Hombres (049)",14,,,2,9,,,,,3
"Mujeres (050)",75,1,4,1,68,,,,,1
"De 65 y más años (051)",105,2,5,7,66,10,,3,,12
"Hombres (052)",33,,4,4,13,3,,2,,7
"Mujeres (053)",72,2,1,3,53,7,,1,,5
