"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHOTA (000)",160447,2868,52092,40117,29728,23113,12529
"Hombres (001)",77987,1430,26364,19334,13979,10832,6048
"Mujeres (002)",82460,1438,25728,20783,15749,12281,6481
"Viviendas particulares (003)",159146,2861,52040,39687,29208,22845,12505
"Hombres (004)",76955,1425,26338,19008,13544,10609,6031
"Mujeres (005)",82191,1436,25702,20679,15664,12236,6474
"Viviendas colectivas (006)",1196,5,46,417,478,232,18
"Hombres (007)",950,4,21,318,400,193,14
"Mujeres (008)",246,1,25,99,78,39,4
"Otro tipo (009)",105,2,6,13,42,36,6
"Hombres (010)",82,1,5,8,35,30,3
"Mujeres (011)",23,1,1,5,7,6,3
,,,,,,,
"URBANA (012)",32301,517,8962,8352,6927,5185,2358
"Hombres (013)",15777,257,4567,3901,3284,2599,1169
"Mujeres (014)",16524,260,4395,4451,3643,2586,1189
"Viviendas particulares (015)",31640,510,8920,8159,6689,5023,2339
"Hombres (016)",15334,252,4551,3781,3114,2480,1156
"Mujeres (017)",16306,258,4369,4378,3575,2543,1183
"Viviendas colectivas (018)",557,5,36,180,196,126,14
"Hombres (019)",361,4,11,112,135,89,10
"Mujeres (020)",196,1,25,68,61,37,4
"Otro tipo (021)",104,2,6,13,42,36,5
"Hombres (022)",82,1,5,8,35,30,3
"Mujeres (023)",22,1,1,5,7,6,2
,,,,,,,
"RURAL (024)",128146,2351,43130,31765,22801,17928,10171
"Hombres (025)",62210,1173,21797,15433,10695,8233,4879
"Mujeres (026)",65936,1178,21333,16332,12106,9695,5292
"Viviendas particulares (027)",127506,2351,43120,31528,22519,17822,10166
"Hombres (028)",61621,1173,21787,15227,10430,8129,4875
"Mujeres (029)",65885,1178,21333,16301,12089,9693,5291
"Viviendas colectivas (030)",639,,10,237,282,106,4
"Hombres (031)",589,,10,206,265,104,4
"Mujeres (032)",50,,,31,17,2,
"Otro tipo (033)",1,,,,,,1
"Mujeres (035)",1,,,,,,1
