"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia UCAYALI (000)",31941,5737,9422,8420,8362
"Asiste actualmente (001)",20957,3289,8671,6874,2123
"No asiste (002)",10984,2448,751,1546,6239
"Hombres (004)",16216,2881,4826,4319,4190
"Asiste actualmente (005)",10804,1616,4437,3575,1176
"No asiste (006)",5412,1265,389,744,3014
"Mujeres (008)",15725,2856,4596,4101,4172
"Asiste actualmente (009)",10153,1673,4234,3299,947
"No asiste (010)",5572,1183,362,802,3225
,,,,,
"URBANA (012)",17285,2823,4795,4898,4769
"Asiste actualmente (013)",11953,1649,4468,4230,1606
"No asiste (014)",5332,1174,327,668,3163
"Hombres (016)",8714,1427,2440,2468,2379
"Asiste actualmente (017)",6056,812,2256,2134,854
"No asiste (018)",2658,615,184,334,1525
"Mujeres (020)",8571,1396,2355,2430,2390
"Asiste actualmente (021)",5897,837,2212,2096,752
"No asiste (022)",2674,559,143,334,1638
,,,,,
"RURAL (024)",14656,2914,4627,3522,3593
"Asiste actualmente (025)",9004,1640,4203,2644,517
"No asiste (026)",5652,1274,424,878,3076
"Hombres (028)",7502,1454,2386,1851,1811
"Asiste actualmente (029)",4748,804,2181,1441,322
"No asiste (030)",2754,650,205,410,1489
"Mujeres (032)",7154,1460,2241,1671,1782
"Asiste actualmente (033)",4256,836,2022,1203,195
"No asiste (034)",2898,624,219,468,1587
