"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",4500,719,1393,1178,1210
"Asiste actualmente (001)",3161,424,1329,1116,292
"No asiste (002)",1339,295,64,62,918
"Hombres (004)",2329,359,705,593,672
"Asiste actualmente (005)",1601,208,670,560,163
"No asiste (006)",728,151,35,33,509
"Mujeres (008)",2171,360,688,585,538
"Asiste actualmente (009)",1560,216,659,556,129
"No asiste (010)",611,144,29,29,409
,,,,,
"URBANA (012)",3070,482,937,828,823
"Asiste actualmente (013)",2248,329,904,792,223
"No asiste (014)",822,153,33,36,600
"Hombres (016)",1576,249,469,415,443
"Asiste actualmente (017)",1134,170,450,395,119
"No asiste (018)",442,79,19,20,324
"Mujeres (020)",1494,233,468,413,380
"Asiste actualmente (021)",1114,159,454,397,104
"No asiste (022)",380,74,14,16,276
,,,,,
"RURAL (024)",1430,237,456,350,387
"Asiste actualmente (025)",913,95,425,324,69
"No asiste (026)",517,142,31,26,318
"Hombres (028)",753,110,236,178,229
"Asiste actualmente (029)",467,38,220,165,44
"No asiste (030)",286,72,16,13,185
"Mujeres (032)",677,127,220,172,158
"Asiste actualmente (033)",446,57,205,159,25
"No asiste (034)",231,70,15,13,133
