"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia AYMARAES (000)",21657,3453,2934,3783,3318,2539,5630
"Católica (001)",19036,3022,2565,3333,2910,2215,4991
"Cristiana/Evangélica (002)",1821,304,241,300,275,227,474
"Otra (003)",447,62,64,80,78,61,102
"Ninguna (004)",353,65,64,70,55,36,63
"Hombres (006)",11071,1800,1571,2038,1771,1302,2589
"Católica (007)",9811,1569,1392,1796,1576,1155,2323
"Cristiana/Evangélica (008)",817,154,103,145,121,103,191
"Otra (009)",221,32,30,44,40,26,49
"Ninguna (010)",222,45,46,53,34,18,26
"Mujeres (012)",10586,1653,1363,1745,1547,1237,3041
"Católica (013)",9225,1453,1173,1537,1334,1060,2668
"Cristiana/Evangélica (014)",1004,150,138,155,154,124,283
"Otra (015)",226,30,34,36,38,35,53
"Ninguna (016)",131,20,18,17,21,18,37
,,,,,,,
"URBANA (018)",9344,1593,1253,1639,1488,1081,2290
"Católica (019)",8350,1413,1106,1449,1341,964,2077
"Cristiana/Evangélica (020)",688,125,103,115,95,80,170
"Otra (021)",164,29,19,34,32,24,26
"Ninguna (022)",142,26,25,41,20,13,17
"Hombres (024)",4590,841,630,799,747,549,1024
"Católica (025)",4117,737,562,703,676,499,940
"Cristiana/Evangélica (026)",294,66,40,50,40,32,66
"Otra (027)",85,17,10,16,17,12,13
"Ninguna (028)",94,21,18,30,14,6,5
"Mujeres (030)",4754,752,623,840,741,532,1266
"Católica (031)",4233,676,544,746,665,465,1137
"Cristiana/Evangélica (032)",394,59,63,65,55,48,104
"Otra (033)",79,12,9,18,15,12,13
"Ninguna (034)",48,5,7,11,6,7,12
,,,,,,,
"RURAL (036)",12313,1860,1681,2144,1830,1458,3340
"Católica (037)",10686,1609,1459,1884,1569,1251,2914
"Cristiana/Evangélica (038)",1133,179,138,185,180,147,304
"Otra (039)",283,33,45,46,46,37,76
"Ninguna (040)",211,39,39,29,35,23,46
"Hombres (042)",6481,959,941,1239,1024,753,1565
"Católica (043)",5694,832,830,1093,900,656,1383
"Cristiana/Evangélica (044)",523,88,63,95,81,71,125
"Otra (045)",136,15,20,28,23,14,36
"Ninguna (046)",128,24,28,23,20,12,21
"Mujeres (048)",5832,901,740,905,806,705,1775
"Católica (049)",4992,777,629,791,669,595,1531
"Cristiana/Evangélica (050)",610,91,75,90,99,76,179
"Otra (051)",147,18,25,18,23,23,40
"Ninguna (052)",83,15,11,6,15,11,25
