"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TUMBES (000)",39948,415,13492,12059,4688,1821,739,209,24,,6501
"Sin Nivel (001)",1522,51,650,360,108,47,35,23,,,248
"Educación Inicial (002)",36,3,13,11,,1,,,,,8
"Primaria (003)",12141,195,5278,3451,1161,495,254,76,11,,1220
"Secundaria (004)",14664,139,5883,4453,1303,456,191,40,6,,2193
"Sup. no Univ. Incompleta (005)",2336,4,524,858,280,79,14,8,,,569
"Sup. no Univ. Completa (006)",5067,11,637,1678,1034,373,120,32,4,,1178
"Sup. Univ. Incompleta (007)",1357,3,241,480,149,66,17,8,1,,392
"Sup. Univ. Completa (008)",2825,9,266,768,653,304,108,22,2,,693
,,,,,,,,,,,
"URBANA (010)",36868,388,12373,11067,4362,1708,697,200,23,,6050
"Sin Nivel (011)",1289,46,545,289,96,44,31,20,,,218
"Educación Inicial (012)",36,3,13,11,,1,,,,,8
"Primaria (013)",10716,183,4681,3017,997,435,230,70,10,,1093
"Secundaria (014)",13654,130,5514,4101,1216,426,185,40,6,,2036
"Sup. no Univ. Incompleta (015)",2246,3,507,821,274,78,14,8,,,541
"Sup. no Univ. Completa (016)",4835,11,618,1605,994,357,113,32,4,,1101
"Sup. Univ. Incompleta (017)",1313,3,231,470,145,65,17,8,1,,373
"Sup. Univ. Completa (018)",2779,9,264,753,640,302,107,22,2,,680
,,,,,,,,,,,
"RURAL (020)",3080,27,1119,992,326,113,42,9,1,,451
"Sin Nivel (021)",233,5,105,71,12,3,4,3,,,30
"Primaria (023)",1425,12,597,434,164,60,24,6,1,,127
"Secundaria (024)",1010,9,369,352,87,30,6,,,,157
"Sup. no Univ. Incompleta (025)",90,1,17,37,6,1,,,,,28
"Sup. no Univ. Completa (026)",232,,19,73,40,16,7,,,,77
"Sup. Univ. Incompleta (027)",44,,10,10,4,1,,,,,19
"Sup. Univ. Completa (028)",46,,2,15,13,2,1,,,,13
