"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TUMBES (000)",39948,415,13492,12059,4688,1821,739,209,24,,6501
"Catolica (001)",33437,330,11128,10076,3979,1534,639,178,23,,5550
"Cristiana / Evangelica (002)",5154,68,1905,1577,548,235,80,25,1,,715
"Otra (003)",805,8,265,245,106,36,15,5,,,125
"Ninguna (004)",552,9,194,161,55,16,5,1,,,111
,,,,,,,,,,,
"URBANA (006)",36868,388,12373,11067,4362,1708,697,200,23,,6050
"Catolica (007)",30705,307,10147,9190,3688,1435,599,171,22,,5146
"Cristiana / Evangelica (008)",4867,65,1789,1490,519,222,78,23,1,,680
"Otra (009)",784,8,258,236,104,35,15,5,,,123
"Ninguna (010)",512,8,179,151,51,16,5,1,,,101
,,,,,,,,,,,
"RURAL (012)",3080,27,1119,992,326,113,42,9,1,,451
"Catolica (013)",2732,23,981,886,291,99,40,7,1,,404
"Cristiana / Evangelica (014)",287,3,116,87,29,13,2,2,,,35
"Otra (015)",21,,7,9,2,1,,,,,2
"Ninguna (016)",40,1,15,10,4,,,,,,10
