"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CAJAMARCA (000)",164156,79091,2483,1616,74165,2334,77,243,152,3995
"Hombres (001)",56721,41214,1417,824,9632,1132,53,139,152,2158
"Mujeres (002)",107435,37877,1066,792,64533,1202,24,104,,1837
"De 06 a 14 años (003)",57078,53405,,,2071,592,2,38,,970
"Hombres (004)",28630,27374,,,537,291,2,19,,407
"Mujeres (005)",28448,26031,,,1534,301,,19,,563
"De 15 a 29 años (006)",52752,24851,62,357,25975,,32,65,152,1258
"Hombres (007)",17768,13483,28,162,3239,,23,35,152,646
"Mujeres (008)",34984,11368,34,195,22736,,9,30,,612
"De 30 a 44 años (009)",23015,666,90,292,21200,,21,42,,704
"Hombres (010)",3142,289,32,133,2171,,14,29,,474
"Mujeres (011)",19873,377,58,159,19029,,7,13,,230
"De 45 a 64 años (012)",18634,149,997,448,16338,51,17,42,,592
"Hombres (013)",3243,64,516,225,1971,35,10,27,,395
"Mujeres (014)",15391,85,481,223,14367,16,7,15,,197
"De 65 y más años (015)",12677,20,1334,519,8581,1691,5,56,,471
"Hombres (016)",3938,4,841,304,1714,806,4,29,,236
"Mujeres (017)",8739,16,493,215,6867,885,1,27,,235
,,,,,,,,,,
"AREA URBANA (018)",84623,44913,2156,1081,33002,1219,50,96,143,1963
"Hombres (019)",31181,22578,1189,476,5127,530,29,53,143,1056
"Mujeres (020)",53442,22335,967,605,27875,689,21,43,,907
"De 06 a 14 años (021)",27804,26619,,,680,247,,16,,242
"Hombres (022)",13866,13347,,,271,119,,10,,119
"Mujeres (023)",13938,13272,,,409,128,,6,,123
"De 15 a 29 años (024)",29755,17615,55,260,10970,,24,25,143,663
"Hombres (025)",11279,8918,23,106,1729,,16,12,143,332
"Mujeres (026)",18476,8697,32,154,9241,,8,13,,331
"De 30 a 44 años (027)",11246,559,76,200,9948,,15,17,,431
"Hombres (028)",1801,253,25,73,1170,,9,11,,260
"Mujeres (029)",9445,306,51,127,8778,,6,6,,171
"De 45 a 64 años (030)",9278,112,923,317,7543,11,10,13,,349
"Hombres (031)",1977,57,472,137,1064,9,4,9,,225
"Mujeres (032)",7301,55,451,180,6479,2,6,4,,124
"De 65 y más años (033)",6540,8,1102,304,3861,961,1,25,,278
"Hombres (034)",2258,3,669,160,893,402,,11,,120
"Mujeres (035)",4282,5,433,144,2968,559,1,14,,158
,,,,,,,,,,
"AREA RURAL (036)",79533,34178,327,535,41163,1115,27,147,9,2032
"Hombres (037)",25540,18636,228,348,4505,602,24,86,9,1102
"Mujeres (038)",53993,15542,99,187,36658,513,3,61,,930
"De 06 a 14 años (039)",29274,26786,,,1391,345,2,22,,728
"Hombres (040)",14764,14027,,,266,172,2,9,,288
"Mujeres (041)",14510,12759,,,1125,173,,13,,440
"De 15 a 29 años (042)",22997,7236,7,97,15005,,8,40,9,595
"Hombres (043)",6489,4565,5,56,1510,,7,23,9,314
"Mujeres (044)",16508,2671,2,41,13495,,1,17,,281
"De 30 a 44 años (045)",11769,107,14,92,11252,,6,25,,273
"Hombres (046)",1341,36,7,60,1001,,5,18,,214
"Mujeres (047)",10428,71,7,32,10251,,1,7,,59
"De 45 a 64 años (048)",9356,37,74,131,8795,40,7,29,,243
"Hombres (049)",1266,7,44,88,907,26,6,18,,170
"Mujeres (050)",8090,30,30,43,7888,14,1,11,,73
"De 65 y más años (051)",6137,12,232,215,4720,730,4,31,,193
"Hombres (052)",1680,1,172,144,821,404,4,18,,116
"Mujeres (053)",4457,11,60,71,3899,326,,13,,77
