"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUARI (000)",15553,94,448,955,1732,2859,5353,4112
"De 12 a 14 años (001)",30,,,,,,,30
"De 15 a 19 años (002)",359,,,,,,195,164
"De 20 a 24 años (003)",1454,,,,,3,889,562
"De 25 a 29 años (004)",1656,,,,,44,1095,517
"De 30 a 34 años (005)",1531,,,,,171,1024,336
"De 35 a 39 años (006)",1723,,,,8,415,999,301
"De 40 a 44 años (007)",1517,,,,47,541,694,235
"De 45 a 49 años (008)",1309,,,3,126,598,375,207
"De 50 y más años (009)",5974,94,448,952,1551,1087,82,1760
"PEA (010)",2376,1,24,78,205,546,799,723
"De 15 a 19 años (012)",23,,,,,,12,11
"De 20 a 24 años (013)",201,,,,,2,88,111
"De 25 a 29 años (014)",316,,,,,12,154,150
"De 30 a 34 años (015)",353,,,,,38,200,115
"De 35 a 39 años (016)",384,,,,2,113,171,98
"De 40 a 44 años (017)",298,,,,13,130,107,48
"De 45 a 49 años (018)",246,,,1,34,105,58,48
"De 50 y más años (019)",555,1,24,77,156,146,9,142
"Ocupada (020)",2276,1,24,76,204,534,763,674
"De 15 a 19 años (022)",20,,,,,,11,9
"De 20 a 24 años (023)",180,,,,,2,82,96
"De 25 a 29 años (024)",291,,,,,12,145,134
"De 30 a 34 años (025)",335,,,,,36,189,110
"De 35 a 39 años (026)",369,,,,2,110,165,92
"De 40 a 44 años (027)",291,,,,13,127,104,47
"De 45 a 49 años (028)",245,,,1,34,105,58,47
"De 50 y más años (029)",545,1,24,75,155,142,9,139
"Desocupada (030)",100,,,2,1,12,36,49
"De 15 a 19 años (032)",3,,,,,,1,2
"De 20 a 24 años (033)",21,,,,,,6,15
"De 25 a 29 años (034)",25,,,,,,9,16
"De 30 a 34 años (035)",18,,,,,2,11,5
"De 35 a 39 años (036)",15,,,,,3,6,6
"De 40 a 44 años (037)",7,,,,,3,3,1
"De 45 a 49 años (038)",1,,,,,,,1
"De 50 y más años (039)",10,,,2,1,4,,3
"No PEA (040)",13177,93,424,877,1527,2313,4554,3389
"De 12 a 14 años (041)",30,,,,,,,30
"De 15 a 19 años (042)",336,,,,,,183,153
"De 20 a 24 años (043)",1253,,,,,1,801,451
"De 25 a 29 años (044)",1340,,,,,32,941,367
"De 30 a 34 años (045)",1178,,,,,133,824,221
"De 35 a 39 años (046)",1339,,,,6,302,828,203
"De 40 a 44 años (047)",1219,,,,34,411,587,187
"De 45 a 49 años (048)",1063,,,2,92,493,317,159
"De 50 y más años (049)",5419,93,424,875,1395,941,73,1618
,,,,,,,,
