"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia MARISCAL NIETO (000)",30987,16567,1010,369,11597,534,17,76,171,646
"Hombres (001)",12330,8312,674,189,2294,254,9,41,167,390
"Mujeres (002)",18657,8255,336,180,9303,280,8,35,4,256
"De 06 a 14 años (003)",10655,10247,,,259,77,,8,,64
"Hombres (004)",5423,5242,,,108,36,,5,,32
"Mujeres (005)",5232,5005,,,151,41,,3,,32
"De 15 a 29 años (006)",9756,6030,9,68,3230,,2,20,171,226
"Hombres (007)",3989,2939,2,35,697,,1,12,167,136
"Mujeres (008)",5767,3091,7,33,2533,,1,8,4,90
"De 30 a 44 años (009)",3910,247,23,90,3378,,6,11,,155
"Hombres (010)",771,115,14,42,485,,3,3,,109
"Mujeres (011)",3139,132,9,48,2893,,3,8,,46
"De 45 a 64 años (012)",3486,36,334,92,2885,9,6,23,,101
"Hombres (013)",802,12,197,40,467,4,2,12,,68
"Mujeres (014)",2684,24,137,52,2418,5,4,11,,33
"De 65 y más años (015)",3180,7,644,119,1845,448,3,14,,100
"Hombres (016)",1345,4,461,72,537,214,3,9,,45
"Mujeres (017)",1835,3,183,47,1308,234,,5,,55
,,,,,,,,,,
"AREA URBANA (018)",27338,14745,958,340,9980,469,17,61,156,612
"Hombres (019)",10927,7334,634,172,1999,222,9,29,152,376
"Mujeres (020)",16411,7411,324,168,7981,247,8,32,4,236
"De 06 a 14 años (021)",9386,9031,,,226,71,,6,,52
"Hombres (022)",4745,4588,,,98,32,,3,,24
"Mujeres (023)",4641,4443,,,128,39,,3,,28
"De 15 a 29 años (024)",8756,5444,9,63,2844,,2,17,156,221
"Hombres (025)",3579,2627,2,31,620,,1,10,152,136
"Mujeres (026)",5177,2817,7,32,2224,,1,7,4,85
"De 30 a 44 años (027)",3456,230,23,81,2956,,6,8,,152
"Hombres (028)",700,104,14,38,431,,3,1,,109
"Mujeres (029)",2756,126,9,43,2525,,3,7,,43
"De 45 a 64 años (030)",3029,34,319,87,2459,8,6,19,,97
"Hombres (031)",717,11,186,39,400,3,2,9,,67
"Mujeres (032)",2312,23,133,48,2059,5,4,10,,30
"De 65 y más años (033)",2711,6,607,109,1495,390,3,11,,90
"Hombres (034)",1186,4,432,64,450,187,3,6,,40
"Mujeres (035)",1525,2,175,45,1045,203,,5,,50
,,,,,,,,,,
"AREA RURAL (036)",3649,1822,52,29,1617,65,,15,15,34
"Hombres (037)",1403,978,40,17,295,32,,12,15,14
"Mujeres (038)",2246,844,12,12,1322,33,,3,,20
"De 06 a 14 años (039)",1269,1216,,,33,6,,2,,12
"Hombres (040)",678,654,,,10,4,,2,,8
"Mujeres (041)",591,562,,,23,2,,,,4
"De 15 a 29 años (042)",1000,586,,5,386,,,3,15,5
"Hombres (043)",410,312,,4,77,,,2,15,
"Mujeres (044)",590,274,,1,309,,,1,,5
"De 30 a 44 años (045)",454,17,,9,422,,,3,,3
"Hombres (046)",71,11,,4,54,,,2,,
"Mujeres (047)",383,6,,5,368,,,1,,3
"De 45 a 64 años (048)",457,2,15,5,426,1,,4,,4
"Hombres (049)",85,1,11,1,67,1,,3,,1
"Mujeres (050)",372,1,4,4,359,,,1,,3
"De 65 y más años (051)",469,1,37,10,350,58,,3,,10
"Hombres (052)",159,,29,8,87,27,,3,,5
"Mujeres (053)",310,1,8,2,263,31,,,,5
