"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia OXAPAMPA (000)",26873,71996,66506,,1717,92.4,2.4
"De 12 a 14 años (001)",3159,21,19,,2,90.5,9.5
"De 15 a 19 años (002)",3989,1097,1076,292,98.1,26.6,
"De 20 a 24 años (003)",3370,4022,3917,443,97.4,11,
"De 25 a 29 años (004)",3061,6038,5858,369,97,6.1,
"De 30 a 34 años (005)",2726,7684,7419,293,96.6,3.8,
"De 35 a 39 años (006)",2606,9590,9145,225,95.4,2.3,
"De 40 a 44 años (007)",2058,8835,8365,82,94.7,0.9,
"De 45 a 49 años (008)",1660,8308,7729,11,93,0.1,
"De 50 y más años (009)",4244,26401,22978,,87,,
"PEA (010)",8759,25226,23468,500,93,2,
"De 12 a 14 años (011)",210,2,2,,100,,
"De 15 a 19 años (012)",849,273,266,62,97.4,22.7,
"De 20 a 24 años (013)",1145,1236,1204,123,97.4,10,
"De 25 a 29 años (014)",1202,1989,1935,103,97.3,5.2,
"De 30 a 34 años (015)",1150,2849,2757,99,96.8,3.5,
"De 35 a 39 años (016)",1183,3821,3643,78,95.3,2,
"De 40 a 44 años (017)",962,3764,3575,31,95,0.8,
"De 45 a 49 años (018)",734,3371,3141,4,93.2,0.1,
"De 50 y más años (019)",1324,7921,6945,,87.7,,
"Ocupada (020)",8596,25062,23311,492,93,2,
"De 12 a 14 años (021)",196,2,2,,100,,
"De 15 a 19 años (022)",812,260,254,60,97.7,23.1,
"De 20 a 24 años (023)",1102,1215,1183,120,97.4,9.9,
"De 25 a 29 años (024)",1172,1958,1906,100,97.3,5.1,
"De 30 a 34 años (025)",1130,2809,2720,99,96.8,3.5,
"De 35 a 39 años (026)",1177,3806,3629,78,95.3,2,
"De 40 a 44 años (027)",957,3747,3558,31,95,0.8,
"De 45 a 49 años (028)",732,3362,3132,4,93.2,0.1,
"De 50 y más años (029)",1318,7903,6927,,87.7,,
"Desocupada (030)",163,164,157,8,95.7,4.9,
"De 12 a 14 años (031)",14,,,,,,
"De 15 a 19 años (032)",37,13,12,2,92.3,15.4,
"De 20 a 24 años (033)",43,21,21,3,100,14.3,
"De 25 a 29 años (034)",30,31,29,3,93.5,9.7,
"De 30 a 34 años (035)",20,40,37,,92.5,,
"De 35 a 39 años (036)",6,15,14,,93.3,,
