"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia SAN PABLO (000)",5797,13,491,80,81,258,2163,334,211,2032,9,125
"Agric., ganadería, caza y silvicultura (001)",3864,,3,9,1,,2163,,1,1687,,
"Explotación de minas y canteras (003)",13,,,,,,,5,2,6,,
"Industrias manufactureras (004)",330,,,3,3,11,,306,5,2,,
"Suministro de electricidad, gas y agua (005)",6,,,,,,,3,1,2,,
"Construcción (006)",227,,3,3,2,,,2,92,125,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",261,,,4,1,194,,16,,46,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,,1,,4,,12,,,,
"Comercio al por mayor (009)",6,,,,,6,,,,,,
"Comercio al por menor (010)",238,,,3,1,184,,4,,46,,
"Hoteles y restaurantes (011)",64,,,,,46,,,,18,,
"Trans., almac. y comunicaciones (012)",114,,,3,4,,,,91,16,,
"Intermediación financiera (013)",1,,,,,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",38,,13,6,9,1,,1,2,6,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",111,7,7,5,46,,,,15,22,9,
"Enseñanza (016)",471,6,450,4,4,,,,,7,,
"Servicios sociales y de salud (017)",49,,12,25,6,3,,,1,2,,
"Otras activ. serv.comun.soc y personales (018)",44,,1,17,2,3,,1,1,19,,
"Hogares privados con servicio doméstico (019)",73,,,,,,,,,73,,
"Actividad economica no especificada (021)",131,,2,1,3,,,,,,,125
"Hombres (022)",4535,12,265,66,52,100,1993,186,209,1616,9,27
"Agric., ganadería, caza y silvicultura (023)",3407,,3,9,1,,1993,,1,1400,,
"Explotación de minas y canteras (025)",13,,,,,,,5,2,6,,
