"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TALARA (000)",129396,2714,35416,35241,25840,22717,7468
"Hombres (001)",65002,1379,18068,17628,12491,11780,3656
"Mujeres (002)",64394,1335,17348,17613,13349,10937,3812
"Viviendas particulares (003)",127209,2697,35329,34373,25212,22212,7386
"Hombres (004)",63387,1372,18014,16982,12022,11398,3599
"Mujeres (005)",63822,1325,17315,17391,13190,10814,3787
"Viviendas colectivas (006)",1663,16,66,712,463,346,60
"Hombres (007)",1185,6,41,527,329,244,38
"Mujeres (008)",478,10,25,185,134,102,22
"Otro tipo (009)",524,1,21,156,165,159,22
"Hombres (010)",430,1,13,119,140,138,19
"Mujeres (011)",94,,8,37,25,21,3
,,,,,,,
"URBANA (012)",126866,2656,34779,34444,25313,22319,7355
"Hombres (013)",63612,1356,17740,17201,12177,11551,3587
"Mujeres (014)",63254,1300,17039,17243,13136,10768,3768
"Viviendas particulares (015)",125021,2642,34717,33680,24795,21897,7290
"Hombres (016)",62204,1351,17698,16616,11778,11218,3543
"Mujeres (017)",62817,1291,17019,17064,13017,10679,3747
"Viviendas colectivas (018)",1381,13,48,632,370,274,44
"Hombres (019)",1030,4,31,488,275,206,26
"Mujeres (020)",351,9,17,144,95,68,18
"Otro tipo (021)",464,1,14,132,148,148,21
"Hombres (022)",378,1,11,97,124,127,18
"Mujeres (023)",86,,3,35,24,21,3
,,,,,,,
"RURAL (024)",2530,58,637,797,527,398,113
"Hombres (025)",1390,23,328,427,314,229,69
"Mujeres (026)",1140,35,309,370,213,169,44
"Viviendas particulares (027)",2188,55,612,693,417,315,96
"Hombres (028)",1183,21,316,366,244,180,56
"Mujeres (029)",1005,34,296,327,173,135,40
"Viviendas colectivas (030)",282,3,18,80,93,72,16
"Hombres (031)",155,2,10,39,54,38,12
"Mujeres (032)",127,1,8,41,39,34,4
"Otro tipo (033)",60,,7,24,17,11,1
"Hombres (034)",52,,2,22,16,11,1
"Mujeres (035)",8,,5,2,1,,
