"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia VICTOR FAJARDO (000)",7936,24942,5617,18434,2319,6508
"Casa independiente (001)",7327,23744,5548,18240,1779,5504
"Vivienda en quinta (003)",20,55,20,55,,
"Vivienda en casa de vecindad (004)",35,115,35,115,,
"Choza o cabaña (005)",540,1004,,,540,1004
"Vivienda improvisada (006)",13,20,13,20,,
"Local no dest.para hab. humana (007)",1,4,1,4,,
