"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia RIOJA",,,,,,,
"Hogares (001)",24912,864,278,368,447,431,22739
"Ocupantes presentes (002)",104454,3597,1209,1832,2084,2107,94659
"Casa independiente",,,,,,,
"Hogares (004)",23151,803,266,357,425,405,21103
"Ocupantes presentes (005)",98656,3347,1175,1780,1980,1979,89402
"Departamento en edificio",,,,,,,
"Hogares (007)",65,5,2,,,1,57
"Ocupantes presentes (008)",206,20,5,,,6,175
"Vivienda en quinta",,,,,,,
"Hogares (010)",819,31,3,2,10,11,765
"Ocupantes presentes (011)",2381,117,9,11,49,53,2153
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",355,12,3,3,5,7,326
"Ocupantes presentes (014)",1300,54,12,15,24,40,1162
"Choza o cabaña",,,,,,,
"Hogares (016)",230,5,4,4,3,3,213
"Ocupantes presentes (017)",935,30,8,16,13,13,861
"Vivienda improvisada",,,,,,,
"Hogares (019)",220,5,,,4,4,207
"Ocupantes presentes (020)",784,24,,,18,16,726
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",66,3,,2,,,62
"Ocupantes presentes (023)",170,5,,10,,,158
"Otro tipo",,,,,,,
"Hogares (025)",6,,,,,,6
"Ocupantes presentes (026)",22,,,,,,22
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",18389,777,209,253,343,347,16635
"Ocupantes presentes (029)",74824,3175,913,1241,1556,1647,67123
"Casa independiente",,,,,,,
"Hogares (031)",16861,721,201,246,324,324,15215
"Ocupantes presentes (032)",69968,2955,887,1205,1465,1532,62734
"Departamento en edificio",,,,,,,
"Hogares (034)",65,5,2,,,1,57
"Ocupantes presentes (035)",206,20,5,,,6,175
"Vivienda en quinta",,,,,,,
"Hogares (037)",819,31,3,2,10,11,765
"Ocupantes presentes (038)",2381,117,9,11,49,53,2153
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",355,12,3,3,5,7,326
"Ocupantes presentes (041)",1300,54,12,15,24,40,1162
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",220,5,,,4,4,207
"Ocupantes presentes (047)",784,24,,,18,16,726
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",63,3,,2,,,59
"Ocupantes presentes (050)",163,5,,10,,,151
"Otro tipo",,,,,,,
"Hogares (052)",6,,,,,,6
"Ocupantes presentes (053)",22,,,,,,22
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",6523,87,69,115,104,84,6104
"Ocupantes presentes (056)",29630,422,296,591,528,460,27536
"Casa independiente",,,,,,,
"Hogares (058)",6290,82,65,111,101,81,5888
"Ocupantes presentes (059)",28688,392,288,575,515,447,26668
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",230,5,4,4,3,3,213
"Ocupantes presentes (071)",935,30,8,16,13,13,861
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",3,,,,,,3
"Ocupantes presentes (077)",7,,,,,,7
"Otro tipo",,,,,,,
