"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TAYACAJA (000)",36250,34991,10526,3733,3724,3207,5261,4007,4533,1259
"Católica (001)",27932,26926,8251,2931,2909,2480,3984,3017,3354,1006
"Cristiana/Evangélica (002)",7936,7701,2153,755,775,696,1233,946,1143,235
"Otra (003)",206,199,52,21,25,22,25,30,24,7
"Ninguna (004)",176,165,70,26,15,9,19,14,12,11
,,,,,,,,,,
"URBANA (006)",9367,8998,2794,1078,1059,925,1315,983,844,369
"Católica (007)",7586,7274,2293,885,887,760,1041,764,644,312
"Cristiana/Evangélica (008)",1622,1570,449,167,156,156,261,196,185,52
"Otra (009)",74,70,19,12,10,4,3,12,10,4
"Ninguna (010)",85,84,33,14,6,5,10,11,5,1
,,,,,,,,,,
"RURAL (012)",26883,25993,7732,2655,2665,2282,3946,3024,3689,890
"Católica (013)",20346,19652,5958,2046,2022,1720,2943,2253,2710,694
"Cristiana/Evangélica (014)",6314,6131,1704,588,619,540,972,750,958,183
"Otra (015)",132,129,33,9,15,18,22,18,14,3
"Ninguna (016)",91,81,37,12,9,4,9,3,7,10
