"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia NAZCA (000)",16357,14908,18,3657,3675,2630,2780,1348,586,214,1449,46926
"De 12 a 14 años (001)",25,10,1,8,1,,,,,,15,10
"De 15 a 19 años (002)",377,295,,262,26,5,2,,,,82,337
"De 20 a 24 años (003)",1642,1191,2,862,272,39,14,2,,,451,1593
"De 25 a 29 años (004)",2129,1736,3,848,626,194,60,4,1,,393,2965
"De 30 a 34 años (005)",2260,2062,,624,796,426,191,20,4,1,198,4472
"De 35 a 39 años (006)",1991,1906,4,317,650,497,348,80,5,5,85,5202
"De 40 a 44 años (007)",1798,1731,3,247,463,414,451,126,25,2,67,5397
"De 45 a 49 años (008)",1430,1389,1,142,290,363,386,158,41,8,41,4936
"De 50 y más años (009)",4705,4588,4,347,551,692,1328,958,510,198,117,22014
"PEA (010)",6748,6003,7,1596,1536,1103,1124,432,153,52,745,17509
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",78,65,,57,5,2,1,,,,13,77
"De 20 a 24 años (013)",562,356,1,265,70,13,6,1,,,206,475
"De 25 a 29 años (014)",925,689,2,393,210,62,20,2,,,236,1094
"De 30 a 34 años (015)",1038,906,,316,323,175,79,11,2,,132,1909
"De 35 a 39 años (016)",1009,958,2,189,328,239,164,34,,2,51,2504
"De 40 a 44 años (017)",972,931,1,160,239,219,235,64,12,1,41,2838
"De 45 a 49 años (018)",709,684,,76,163,153,195,73,20,4,25,2394
"De 50 y más años (019)",1453,1412,1,138,198,240,424,247,119,45,41,6216
"Ocupada (020)",6499,5812,7,1522,1493,1070,1102,419,148,51,687,17016
"De 12 a 14 años (021)",2,2,,2,,,,,,,,2
