"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia VILCAS HUAMAN",,,,,,,,
"Hogares (001)",7092,3968,531,100,14,35,38,3027
"Ocupantes presentes (002)",23154,14620,2019,381,68,128,162,8202
"Casa independiente",,,,,,,,
"Hogares (004)",6902,3879,519,99,14,35,37,2927
"Ocupantes presentes (005)",22590,14317,1973,376,68,128,157,7942
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",28,20,9,,,,1,7
"Ocupantes presentes (011)",100,76,33,,,,5,23
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",10,5,2,1,,,,5
"Ocupantes presentes (014)",27,17,8,5,,,,10
"Choza o cabaña",,,,,,,,
"Hogares (016)",147,64,1,,,,,83
"Ocupantes presentes (017)",432,210,5,,,,,222
"Vivienda improvisada",,,,,,,,
"Hogares (019)",3,,,,,,,3
"Ocupantes presentes (020)",3,,,,,,,3
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",1,,,,,,,1
"Ocupantes presentes (023)",1,,,,,,,1
"Otro tipo",,,,,,,,
"Hogares (025)",1,,,,,,,1
"Ocupantes presentes (026)",1,,,,,,,1
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",2221,1315,465,80,12,34,36,823
"Ocupantes presentes (029)",7056,4745,1775,322,59,123,152,2013
"Casa independiente",,,,,,,,
"Hogares (031)",2179,1290,454,79,12,34,35,807
"Ocupantes presentes (032)",6925,4652,1734,317,59,123,147,1976
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",28,20,9,,,,1,7
"Ocupantes presentes (038)",100,76,33,,,,5,23
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",10,5,2,1,,,,5
"Ocupantes presentes (041)",27,17,8,5,,,,10
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",3,,,,,,,3
"Ocupantes presentes (047)",3,,,,,,,3
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",1,,,,,,,1
"Ocupantes presentes (050)",1,,,,,,,1
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",4871,2653,66,20,2,1,2,2204
"Ocupantes presentes (056)",16098,9875,244,59,9,5,10,6189
"Casa independiente",,,,,,,,
"Hogares (058)",4723,2589,65,20,2,1,2,2120
"Ocupantes presentes (059)",15665,9665,239,59,9,5,10,5966
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",147,64,1,,,,,83
"Ocupantes presentes (071)",432,210,5,,,,,222
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
"Hogares (079)",1,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,1
