"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia VILCAS HUAMAN (000)",23154,362,8000,4779,3834,3418,2761
"Casa independiente (001)",22590,349,7822,4667,3740,3322,2690
"Vivienda en quinta (003)",100,3,35,24,24,5,9
"Vivienda en casa de vecindad (004)",27,,9,4,5,4,5
"Choza o cabaña (005)",432,10,134,84,63,86,55
"Vivienda improvisada (006)",3,,,,1,,2
"Local no destinado para hab.humana (007)",1,,,,,1,
"Otro tipo (008)",1,,,,1,,
,,,,,,,
"URBANA (009)",7056,93,2284,1536,1279,1028,836
"Casa independiente (010)",6925,90,2240,1508,1249,1018,820
"Vivienda en quinta (012)",100,3,35,24,24,5,9
"Vivienda en casa de vecindad (013)",27,,9,4,5,4,5
"Vivienda improvisada (015)",3,,,,1,,2
"Local no destinado para hab.humana (016)",1,,,,,1,
,,,,,,,
"RURAL (018)",16098,269,5716,3243,2555,2390,1925
"Casa independiente (019)",15665,259,5582,3159,2491,2304,1870
"Choza o cabaña (023)",432,10,134,84,63,86,55
"Otro tipo (026)",1,,,,1,,
