"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",134315,7060,37254,26482,19085,16595,10813,7371,9655
"Quechua (001)",98774,4046,24240,18300,14238,13315,9106,6559,8970
"Aymara (002)",249,7,31,37,54,49,23,26,22
"Ashaninca (003)",25,,13,2,2,3,,4,1
"Otra lengua nativa (004)",22,,6,7,3,2,2,,2
"Castellano (005)",35043,2997,12903,8090,4758,3203,1675,770,647
"Idioma extranjero (006)",12,,,3,3,4,,1,1
"Es sordomudo/a (007)",190,10,61,43,27,19,7,11,12
"Hombres (009)",65311,3589,18969,13072,9045,8056,5125,3434,4021
"Quechua (010)",47369,2027,12327,9001,6748,6368,4259,2981,3658
"Aymara (011)",115,4,16,19,26,25,6,12,7
"Ashaninca (012)",8,,3,1,1,1,,2,
"Otra lengua nativa (013)",9,,2,4,1,1,,,1
"Castellano (014)",17708,1552,6592,4026,2254,1651,856,430,347
"Idioma extranjero (015)",3,,,2,,,,1,
"Es sordomudo/a (016)",99,6,29,19,15,10,4,8,8
"Mujeres (018)",69004,3471,18285,13410,10040,8539,5688,3937,5634
"Quechua (019)",51405,2019,11913,9299,7490,6947,4847,3578,5312
"Aymara (020)",134,3,15,18,28,24,17,14,15
"Ashaninca (021)",17,,10,1,1,2,,2,1
"Otra lengua nativa (022)",13,,4,3,2,1,2,,1
"Castellano (023)",17335,1445,6311,4064,2504,1552,819,340,300
"Idioma extranjero (024)",9,,,1,3,4,,,1
"Es sordomudo/a (025)",91,4,32,24,12,9,3,3,4
,,,,,,,,,
"URBANA (027)",60719,2962,15772,12944,9525,8177,4894,2954,3491
"Quechua (028)",31131,718,5597,6036,5168,5181,3324,2226,2881
"Aymara (029)",174,4,14,21,43,42,17,19,14
"Ashaninca (030)",19,,9,2,1,3,,4,
"Otra lengua nativa (031)",16,,5,5,2,1,2,,1
"Castellano (032)",29304,2237,10127,6862,4296,2941,1549,702,590
"Idioma extranjero (033)",12,,,3,3,4,,1,1
"Es sordomudo/a (034)",63,3,20,15,12,5,2,2,4
"Hombres (036)",29449,1496,7958,6293,4415,4011,2384,1428,1464
"Quechua (037)",14760,353,2817,2935,2382,2497,1598,1034,1144
"Aymara (038)",86,1,9,9,20,25,6,10,6
"Ashaninca (039)",7,,3,1,,1,,2,
"Otra lengua nativa (040)",6,,1,3,1,,,,1
"Castellano (041)",14556,1141,5119,3335,2007,1485,779,380,310
"Idioma extranjero (042)",3,,,2,,,,1,
"Es sordomudo/a (043)",31,1,9,8,5,3,1,1,3
"Mujeres (045)",31270,1466,7814,6651,5110,4166,2510,1526,2027
"Quechua (046)",16371,365,2780,3101,2786,2684,1726,1192,1737
"Aymara (047)",88,3,5,12,23,17,11,9,8
"Ashaninca (048)",12,,6,1,1,2,,2,
"Otra lengua nativa (049)",10,,4,2,1,1,2,,
"Castellano (050)",14748,1096,5008,3527,2289,1456,770,322,280
"Idioma extranjero (051)",9,,,1,3,4,,,1
"Es sordomudo/a (052)",32,2,11,7,7,2,1,1,1
,,,,,,,,,
"RURAL (054)",73596,4098,21482,13538,9560,8418,5919,4417,6164
"Quechua (055)",67643,3328,18643,12264,9070,8134,5782,4333,6089
"Aymara (056)",75,3,17,16,11,7,6,7,8
"Ashaninca (057)",6,,4,,1,,,,1
"Otra lengua nativa (058)",6,,1,2,1,1,,,1
"Castellano (059)",5739,760,2776,1228,462,262,126,68,57
"Es sordomudo/a (061)",127,7,41,28,15,14,5,9,8
"Hombres (063)",35862,2093,11011,6779,4630,4045,2741,2006,2557
"Quechua (064)",32609,1674,9510,6066,4366,3871,2661,1947,2514
"Aymara (065)",29,3,7,10,6,,,2,1
"Ashaninca (066)",1,,,,1,,,,
"Otra lengua nativa (067)",3,,1,1,,1,,,
"Castellano (068)",3152,411,1473,691,247,166,77,50,37
"Es sordomudo/a (070)",68,5,20,11,10,7,3,7,5
"Mujeres (072)",37734,2005,10471,6759,4930,4373,3178,2411,3607
"Quechua (073)",35034,1654,9133,6198,4704,4263,3121,2386,3575
"Aymara (074)",46,,10,6,5,7,6,5,7
"Ashaninca (075)",5,,4,,,,,,1
"Otra lengua nativa (076)",3,,,1,1,,,,1
"Castellano (077)",2587,349,1303,537,215,96,49,18,20
"Es sordomudo/a (079)",59,2,21,17,5,7,2,2,3
