"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CANTA (000)",6156,703,2079,2272,263,610,81,148
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",15,15,,,,,,
"Profes., científicos e intelectuales (002)",273,233,,37,3,,,
"Técnicos de nivel medio y trab. asimilados (003)",134,77,,41,15,1,,
"Jefes y empleados de oficina (004)",98,98,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",520,69,19,367,15,50,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1551,5,2,1337,207,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",239,,79,149,11,,,
"Obreros construc.,conf.,papel, fab., instr. (008)",342,38,138,154,8,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2679,113,1812,148,1,524,81,
"Otra (010)",32,32,,,,,,
"Ocupaciñn no especificada (011)",125,23,29,39,3,31,,
"Desocupado (012)",148,,,,,,,148
"Hombres (013)",4189,370,1589,1629,216,263,5,117
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",12,12,,,,,,
"Profes., científicos e intelectuales (015)",128,98,,29,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",75,32,,32,10,1,,
"Jefes y empleados de oficina (017)",56,56,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",180,34,3,128,5,10,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",1287,5,2,1101,179,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",201,,69,121,11,,,
"Obreros construc.,conf.,papel, fab., instr. (021)",338,38,137,151,8,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",1716,60,1360,51,1,239,5,
"Otra (023)",29,29,,,,,,
"Ocupaciñn no especificada (024)",50,6,18,16,1,9,,
"Desocupado (025)",117,,,,,,,117
"Mujeres (026)",1967,333,490,643,47,347,76,31
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,3,,,,,,
"Profes., científicos e intelectuales (028)",145,135,,8,2,,,
"Técnicos de nivel medio y trab. asimilados (029)",59,45,,9,5,,,
"Jefes y empleados de oficina (030)",42,42,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",340,35,16,239,10,40,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",264,,,236,28,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",38,,10,28,,,,
"Obreros construc.,conf.,papel, fab., instr. (034)",4,,1,3,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",963,53,452,97,,285,76,
"Otra (036)",3,3,,,,,,
"Ocupaciñn no especificada (037)",75,17,11,23,2,22,,
"Desocupado (038)",31,,,,,,,31
,,,,,,,,
"URBANA (039)",2956,519,545,1281,119,361,62,69
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",10,10,,,,,,
"Profes., científicos e intelectuales (041)",219,194,,22,3,,,
"Técnicos de nivel medio y trab. asimilados (042)",96,50,,33,12,1,,
"Jefes y empleados de oficina (043)",73,73,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",318,46,9,216,14,33,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",825,1,1,749,74,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",97,,41,49,7,,,
"Obreros construc.,conf.,papel, fab., instr. (047)",203,21,94,80,6,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",937,77,391,102,,305,62,
"Otra (049)",29,29,,,,,,
"Ocupaciñn no especificada (050)",80,18,9,30,3,20,,
"Desocupado (051)",69,,,,,,,69
"Hombres (052)",1897,256,436,901,83,165,4,52
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",7,7,,,,,,
"Profes., científicos e intelectuales (054)",99,80,,18,1,,,
"Técnicos de nivel medio y trab. asimilados (055)",53,18,,27,7,1,,
"Jefes y empleados de oficina (056)",41,41,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",119,20,2,86,5,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",665,1,1,607,56,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",86,,38,41,7,,,
"Obreros construc.,conf.,papel, fab., instr. (060)",200,21,93,78,6,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",522,38,299,32,,149,4,
"Otra (062)",26,26,,,,,,
"Ocupaciñn no especificada (063)",27,4,3,12,1,7,,
"Desocupado (064)",52,,,,,,,52
"Mujeres (065)",1059,263,109,380,36,196,58,17
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",3,3,,,,,,
"Profes., científicos e intelectuales (067)",120,114,,4,2,,,
"Técnicos de nivel medio y trab. asimilados (068)",43,32,,6,5,,,
"Jefes y empleados de oficina (069)",32,32,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",199,26,7,130,9,27,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",160,,,142,18,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",11,,3,8,,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",3,,1,2,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",415,39,92,70,,156,58,
"Otra (075)",3,3,,,,,,
"Ocupaciñn no especificada (076)",53,14,6,18,2,13,,
"Desocupado (077)",17,,,,,,,17
,,,,,,,,
"RURAL (078)",3200,184,1534,991,144,249,19,79
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",5,5,,,,,,
"Profes., científicos e intelectuales (080)",54,39,,15,,,,
"Técnicos de nivel medio y trab. asimilados (081)",38,27,,8,3,,,
"Jefes y empleados de oficina (082)",25,25,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",202,23,10,151,1,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",726,4,1,588,133,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",142,,38,100,4,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",139,17,44,74,2,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",1742,36,1421,46,1,219,19,
"Otra (088)",3,3,,,,,,
"Ocupaciñn no especificada (089)",45,5,20,9,,11,,
"Desocupado (090)",79,,,,,,,79
"Hombres (091)",2292,114,1153,728,133,98,1,65
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",29,18,,11,,,,
"Técnicos de nivel medio y trab. asimilados (094)",22,14,,5,3,,,
"Jefes y empleados de oficina (095)",15,15,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",61,14,1,42,,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",622,4,1,494,123,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",115,,31,80,4,,,
