"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ISLAY (000)",20269,43169,40217,,635,93.2,1.5
"De 12 a 14 años (001)",1475,4,4,,1,100,25
"De 15 a 19 años (002)",2204,229,225,64,98.3,27.9,
"De 20 a 24 años (003)",2024,1164,1134,131,97.4,11.3,
"De 25 a 29 años (004)",2068,2532,2489,181,98.3,7.1,
"De 30 a 34 años (005)",2078,3763,3677,137,97.7,3.6,
"De 35 a 39 años (006)",1921,4367,4222,96,96.7,2.2,
"De 40 a 44 años (007)",1723,4664,4497,23,96.4,0.5,
"De 45 a 49 años (008)",1449,4537,4284,2,94.4,,
"De 50 y más años (009)",5327,21909,19685,,89.8,,
"PEA (010)",8050,17432,16451,188,94.4,1.1,
"De 12 a 14 años (011)",40,2,2,1,100,50,
"De 15 a 19 años (012)",410,65,62,10,95.4,15.4,
"De 20 a 24 años (013)",877,464,451,29,97.2,6.3,
"De 25 a 29 años (014)",1044,1114,1089,53,97.8,4.8,
"De 30 a 34 años (015)",1083,1823,1773,47,97.3,2.6,
"De 35 a 39 años (016)",1085,2338,2275,40,97.3,1.7,
"De 40 a 44 años (017)",980,2620,2514,8,96,0.3,
"De 45 a 49 años (018)",792,2529,2368,,93.6,,
"De 50 y más años (019)",1739,6477,5917,,91.4,,
"Ocupada (020)",7636,16694,15735,176,94.3,1.1,
"De 12 a 14 años (021)",37,1,1,,100,,
"De 15 a 19 años (022)",380,61,58,9,95.1,14.8,
"De 20 a 24 años (023)",792,417,405,26,97.1,6.2,
"De 25 a 29 años (024)",964,1027,1002,50,97.6,4.9,
"De 30 a 34 años (025)",1030,1732,1683,45,97.2,2.6,
"De 35 a 39 años (026)",1042,2235,2175,38,97.3,1.7,
"De 40 a 44 años (027)",949,2538,2433,8,95.9,0.3,
"De 45 a 49 años (028)",759,2422,2267,,93.6,,
"De 50 y más años (029)",1683,6261,5711,,91.2,,
"Desocupada (030)",414,738,716,12,97,1.6,
"De 12 a 14 años (031)",3,1,1,1,100,100,
"De 15 a 19 años (032)",30,4,4,1,100,25,
"De 20 a 24 años (033)",85,47,46,3,97.9,6.4,
"De 25 a 29 años (034)",80,87,87,3,100,3.4,
"De 30 a 34 años (035)",53,91,90,2,98.9,2.2,
"De 35 a 39 años (036)",43,103,100,2,97.1,1.9,
