"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PALPA (000)",12031,1017,279,3558,4732,689,814,354,588
"Jefe o Jefa (001)",3552,206,,1133,1448,148,251,105,261
"Esposa(o)/ compa¤era(o) (002)",1994,162,,575,822,118,189,32,96
"Hijo(a)/ hijastro(a) (003)",4637,404,203,1314,1779,346,267,168,156
"Yerno/ nuera (004)",213,1,,23,125,13,31,6,14
"Nieto(a) (005)",659,124,58,238,184,18,13,14,10
"Padres/ suegros (006)",131,58,,56,12,1,,2,2
"Otro(a) pariente (007)",677,53,14,199,281,38,44,17,31
"Trabajador(a) del hogar (008)",19,1,,4,13,,,1,
"Pensionista (009)",16,,,1,8,,2,,5
"Otro(a) no pariente (010)",133,8,4,15,60,7,17,9,13
"Hombres (012)",6135,413,162,1814,2590,311,322,211,312
"Jefe o Jefa (013)",2542,84,,816,1094,101,168,83,196
"Esposa(o)/ compa¤era(o) (014)",143,5,,32,81,9,7,3,6
"Hijo(a)/ hijastro(a) (015)",2478,211,123,684,1019,162,108,94,77
"Yerno/ nuera (016)",104,,,13,62,6,14,3,6
"Nieto(a) (017)",343,63,28,119,109,8,3,8,5
"Padres/ suegros (018)",51,17,,23,8,,,2,1
"Otro(a) pariente (019)",376,29,8,112,167,19,17,12,12
"Trabajador(a) del hogar (020)",9,1,,2,6,,,,
"Pensionista (021)",13,,,1,8,,2,,2
"Otro(a) no pariente (022)",76,3,3,12,36,6,3,6,7
"Mujeres (024)",5896,604,117,1744,2142,378,492,143,276
"Jefe o Jefa (025)",1010,122,,317,354,47,83,22,65
"Esposa(o)/ compa¤era(o) (026)",1851,157,,543,741,109,182,29,90
"Hijo(a)/ hijastro(a) (027)",2159,193,80,630,760,184,159,74,79
"Yerno/ nuera (028)",109,1,,10,63,7,17,3,8
"Nieto(a) (029)",316,61,30,119,75,10,10,6,5
"Padres/ suegros (030)",80,41,,33,4,1,,,1
"Otro(a) pariente (031)",301,24,6,87,114,19,27,5,19
"Trabajador(a) del hogar (032)",10,,,2,7,,,1,
"Pensionista (033)",3,,,,,,,,3
"Otro(a) no pariente (034)",57,5,1,3,24,1,14,3,6
,,,,,,,,,
"URBANA (036)",7894,616,184,2189,3016,494,644,267,484
"Jefe o Jefa (037)",2270,94,,628,925,105,211,85,222
"Esposa(o)/ compa¤era(o) (038)",1275,85,,314,511,91,160,30,84
"Hijo(a)/ hijastro(a) (039)",3068,269,136,880,1118,238,192,115,120
"Yerno/ nuera (040)",155,1,,16,86,10,25,6,11
"Nieto(a) (041)",444,88,38,165,117,14,6,10,6
"Padres/ suegros (042)",94,38,,43,8,1,,2,2
"Otro(a) pariente (043)",466,35,7,130,194,28,35,11,26
"Trabajador(a) del hogar (044)",9,1,,2,5,,,1,
"Pensionista (045)",11,,,,7,,2,,2
"Otro(a) no pariente (046)",102,5,3,11,45,7,13,7,11
"Hombres (048)",3910,244,112,1093,1586,223,243,154,255
"Jefe o Jefa (049)",1534,31,,421,648,72,133,66,163
