"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia GRAU (000)",13916,13071,845
"Hombres (001)",6904,6569,335
"Mujeres (002)",7012,6502,510
"De 18 a 29 años (003)",3506,3298,208
"Hombres (004)",1752,1627,125
"Mujeres (005)",1754,1671,83
"De 30 a 44 años (006)",4183,4118,65
"Hombres (007)",2120,2084,36
"Mujeres (008)",2063,2034,29
"De 45 a 64 años (009)",3753,3612,141
"Hombres (010)",1883,1828,55
"Mujeres (011)",1870,1784,86
"De 65 y más años (012)",2474,2043,431
"Hombres (013)",1149,1030,119
"Mujeres (014)",1325,1013,312
,,,
"URBANA (015)",5580,5303,277
"Hombres (016)",2696,2587,109
"Mujeres (017)",2884,2716,168
"De 18 a 29 años (018)",1638,1559,79
"Hombres (019)",786,736,50
"Mujeres (020)",852,823,29
"De 30 a 44 años (021)",1767,1748,19
"Hombres (022)",879,868,11
"Mujeres (023)",888,880,8
"De 45 a 64 años (024)",1361,1320,41
"Hombres (025)",683,665,18
"Mujeres (026)",678,655,23
"De 65 y más años (027)",814,676,138
"Hombres (028)",348,318,30
"Mujeres (029)",466,358,108
,,,
"RURAL (030)",8336,7768,568
"Hombres (031)",4208,3982,226
"Mujeres (032)",4128,3786,342
"De 18 a 29 años (033)",1868,1739,129
"Hombres (034)",966,891,75
"Mujeres (035)",902,848,54
"De 30 a 44 años (036)",2416,2370,46
"Hombres (037)",1241,1216,25
"Mujeres (038)",1175,1154,21
"De 45 a 64 años (039)",2392,2292,100
"Hombres (040)",1200,1163,37
"Mujeres (041)",1192,1129,63
"De 65 y más años (042)",1660,1367,293
"Hombres (043)",801,712,89
"Mujeres (044)",859,655,204
