"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SECHURA (000)",29862,4881,7922,6896,10163
"Asiste actualmente (001)",17305,2694,7640,4997,1974
"No asiste (002)",12557,2187,282,1899,8189
"Hombres (004)",14848,2450,3954,3509,4935
"Asiste actualmente (005)",8749,1339,3824,2588,998
"No asiste (006)",6099,1111,130,921,3937
"Mujeres (008)",15014,2431,3968,3387,5228
"Asiste actualmente (009)",8556,1355,3816,2409,976
"No asiste (010)",6458,1076,152,978,4252
,,,,,
"URBANA (012)",28000,4606,7427,6445,9522
"Asiste actualmente (013)",16369,2560,7170,4751,1888
"No asiste (014)",11631,2046,257,1694,7634
"Hombres (016)",13886,2317,3710,3269,4590
"Asiste actualmente (017)",8279,1275,3594,2462,948
"No asiste (018)",5607,1042,116,807,3642
"Mujeres (020)",14114,2289,3717,3176,4932
"Asiste actualmente (021)",8090,1285,3576,2289,940
"No asiste (022)",6024,1004,141,887,3992
,,,,,
"RURAL (024)",1862,275,495,451,641
"Asiste actualmente (025)",936,134,470,246,86
"No asiste (026)",926,141,25,205,555
"Hombres (028)",962,133,244,240,345
"Asiste actualmente (029)",470,64,230,126,50
"No asiste (030)",492,69,14,114,295
"Mujeres (032)",900,142,251,211,296
"Asiste actualmente (033)",466,70,240,120,36
"No asiste (034)",434,72,11,91,260
