"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",95290,6485,27886,19053,13991,11621,7864,4640,3750
"Quechua (001)",367,11,65,48,45,44,54,44,56
"Aymara (002)",16,2,3,1,2,2,4,2,
"Ashaninca (003)",15,,3,2,2,,4,3,1
"Otra lengua nativa (004)",12811,1053,4297,2646,2013,1441,799,380,182
"Castellano (005)",81928,5410,23478,16310,11901,10123,6995,4206,3505
"Idioma extranjero (006)",7,,,,2,,1,2,2
"Es sordomudo/a (007)",146,9,40,46,26,11,7,3,4
"Hombres (009)",48741,3283,14242,9500,7113,5953,4259,2506,1885
"Quechua (010)",193,5,29,23,31,23,32,26,24
"Aymara (011)",6,1,2,,,1,1,1,
"Ashaninca (012)",7,,1,,2,,2,2,
"Otra lengua nativa (013)",6430,492,2225,1240,1050,730,419,194,80
"Castellano (014)",42027,2777,11968,8217,6013,5195,3800,2281,1776
"Idioma extranjero (015)",7,,,,2,,1,2,2
"Es sordomudo/a (016)",71,8,17,20,15,4,4,,3
"Mujeres (018)",46549,3202,13644,9553,6878,5668,3605,2134,1865
"Quechua (019)",174,6,36,25,14,21,22,18,32
"Aymara (020)",10,1,1,1,2,1,3,1,
"Ashaninca (021)",8,,2,2,,,2,1,1
"Otra lengua nativa (022)",6381,561,2072,1406,963,711,380,186,102
"Castellano (023)",39901,2633,11510,8093,5888,4928,3195,1925,1729
"Es sordomudo/a (025)",75,1,23,26,11,7,3,3,1
,,,,,,,,,
"URBANA (027)",57955,3342,15446,12114,8556,7450,5198,3091,2758
"Quechua (028)",165,2,13,20,13,19,28,31,39
"Aymara (029)",11,1,2,1,1,2,3,1,
"Ashaninca (030)",11,,3,2,1,,3,2,
"Otra lengua nativa (031)",732,43,155,160,118,98,62,36,60
"Castellano (032)",56943,3291,15250,11902,8406,7325,5096,3018,2655
"Idioma extranjero (033)",6,,,,1,,1,2,2
"Es sordomudo/a (034)",87,5,23,29,16,6,5,1,2
"Hombres (036)",29004,1715,7848,5935,4164,3659,2744,1604,1335
"Quechua (037)",76,1,4,9,8,9,15,17,13
"Aymara (038)",4,,2,,,1,1,,
"Ashaninca (039)",5,,1,,1,,1,2,
"Otra lengua nativa (040)",362,19,75,74,62,50,35,18,29
"Castellano (041)",28509,1691,7755,5841,4082,3597,2688,1565,1290
"Idioma extranjero (042)",6,,,,1,,1,2,2
"Es sordomudo/a (043)",42,4,11,11,10,2,3,,1
"Mujeres (045)",28951,1627,7598,6179,4392,3791,2454,1487,1423
"Quechua (046)",89,1,9,11,5,10,13,14,26
"Aymara (047)",7,1,,1,1,1,2,1,
"Ashaninca (048)",6,,2,2,,,2,,
"Otra lengua nativa (049)",370,24,80,86,56,48,27,18,31
"Castellano (050)",28434,1600,7495,6061,4324,3728,2408,1453,1365
"Es sordomudo/a (052)",45,1,12,18,6,4,2,1,1
,,,,,,,,,
"RURAL (054)",37335,3143,12440,6939,5435,4171,2666,1549,992
"Quechua (055)",202,9,52,28,32,25,26,13,17
"Aymara (056)",5,1,1,,1,,1,1,
"Ashaninca (057)",4,,,,1,,1,1,1
"Otra lengua nativa (058)",12079,1010,4142,2486,1895,1343,737,344,122
"Castellano (059)",24985,2119,8228,4408,3495,2798,1899,1188,850
"Idioma extranjero (060)",1,,,,1,,,,
"Es sordomudo/a (061)",59,4,17,17,10,5,2,2,2
"Hombres (063)",19737,1568,6394,3565,2949,2294,1515,902,550
"Quechua (064)",117,4,25,14,23,14,17,9,11
"Aymara (065)",2,1,,,,,,1,
"Ashaninca (066)",2,,,,1,,1,,
"Otra lengua nativa (067)",6068,473,2150,1166,988,680,384,176,51
"Castellano (068)",13518,1086,4213,2376,1931,1598,1112,716,486
"Idioma extranjero (069)",1,,,,1,,,,
"Es sordomudo/a (070)",29,4,6,9,5,2,1,,2
"Mujeres (072)",17598,1575,6046,3374,2486,1877,1151,647,442
"Quechua (073)",85,5,27,14,9,11,9,4,6
"Aymara (074)",3,,1,,1,,1,,
"Ashaninca (075)",2,,,,,,,1,1
"Otra lengua nativa (076)",6011,537,1992,1320,907,663,353,168,71
"Castellano (077)",11467,1033,4015,2032,1564,1200,787,472,364
"Es sordomudo/a (079)",30,,11,8,5,3,1,2,
