"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia TUMBES (000)",61560,8875,16107,14351,22227
"Asiste actualmente (001)",42448,6620,15515,12928,7385
"No asiste (002)",19112,2255,592,1423,14842
"Hombres (004)",31620,4535,8193,7272,11620
"Asiste actualmente (005)",21668,3376,7888,6533,3871
"No asiste (006)",9952,1159,305,739,7749
"Mujeres (008)",29940,4340,7914,7079,10607
"Asiste actualmente (009)",20780,3244,7627,6395,3514
"No asiste (010)",9160,1096,287,684,7093
,,,,,
"URBANA (012)",56850,8250,14933,13174,20493
"Asiste actualmente (013)",39284,6107,14371,11889,6917
"No asiste (014)",17566,2143,562,1285,13576
"Hombres (016)",29226,4206,7612,6694,10714
"Asiste actualmente (017)",20113,3107,7326,6037,3643
"No asiste (018)",9113,1099,286,657,7071
"Mujeres (020)",27624,4044,7321,6480,9779
"Asiste actualmente (021)",19171,3000,7045,5852,3274
"No asiste (022)",8453,1044,276,628,6505
,,,,,
"RURAL (024)",4710,625,1174,1177,1734
"Asiste actualmente (025)",3164,513,1144,1039,468
"No asiste (026)",1546,112,30,138,1266
"Hombres (028)",2394,329,581,578,906
"Asiste actualmente (029)",1555,269,562,496,228
"No asiste (030)",839,60,19,82,678
"Mujeres (032)",2316,296,593,599,828
"Asiste actualmente (033)",1609,244,582,543,240
"No asiste (034)",707,52,11,56,588
