"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5092,1176,13,1726,1084,155,460,107,371
"Empleado (001)",976,19,,57,164,67,315,66,288
"Obrero (002)",740,137,2,284,230,27,24,15,21
"Trabajador independiente (003)",1822,490,5,752,369,40,91,20,55
"Empleador o patrono (004)",734,242,3,325,145,6,10,,3
"Trabajador familiar no remunerado (005)",728,256,3,275,152,14,19,5,4
"Trabajador del hogar (006)",92,32,,33,24,1,1,1,
"Hombres (008)",3727,738,11,1414,855,89,289,80,251
"Empleado (009)",569,5,,37,89,28,180,44,186
"Obrero (010)",684,122,1,263,213,26,24,14,21
"Trabajador independiente (011)",1425,338,5,637,293,25,69,19,39
"Empleador o patrono (012)",679,212,3,305,143,6,7,,3
"Trabajador familiar no remunerado (013)",370,61,2,172,117,4,9,3,2
"Mujeres (016)",1365,438,2,312,229,66,171,27,120
"Empleado (017)",407,14,,20,75,39,135,22,102
"Obrero (018)",56,15,1,21,17,1,,1,
"Trabajador independiente (019)",397,152,,115,76,15,22,1,16
"Empleador o patrono (020)",55,30,,20,2,,3,,
"Trabajador familiar no remunerado (021)",358,195,1,103,35,10,10,2,2
"Trabajador del hogar (022)",92,32,,33,24,1,1,1,
,,,,,,,,,
"URBANA (024)",1303,90,4,212,300,85,282,67,263
"Empleado (025)",593,6,,20,86,31,200,44,206
"Obrero (026)",144,7,2,35,55,14,10,6,15
"Trabajador independiente (027)",419,53,2,112,115,28,60,12,37
"Empleador o patrono (028)",11,1,,2,3,2,1,,2
"Trabajador familiar no remunerado (029)",108,18,,33,30,10,10,4,3
"Trabajador del hogar (030)",28,5,,10,11,,1,1,
"Hombres (032)",796,39,3,130,204,45,155,50,170
"Empleado (033)",334,1,,12,54,11,99,31,126
"Obrero (034)",139,5,1,33,55,14,10,6,15
"Trabajador independiente (035)",273,30,2,70,75,16,43,11,26
"Empleador o patrono (036)",7,1,,,2,2,,,2
"Trabajador familiar no remunerado (037)",43,2,,15,18,2,3,2,1
"Mujeres (040)",507,51,1,82,96,40,127,17,93
"Empleado (041)",259,5,,8,32,20,101,13,80
"Obrero (042)",5,2,1,2,,,,,
"Trabajador independiente (043)",146,23,,42,40,12,17,1,11
"Empleador o patrono (044)",4,,,2,1,,1,,
"Trabajador familiar no remunerado (045)",65,16,,18,12,8,7,2,2
"Trabajador del hogar (046)",28,5,,10,11,,1,1,
,,,,,,,,,
"RURAL (048)",3789,1086,9,1514,784,70,178,40,108
"Empleado (049)",383,13,,37,78,36,115,22,82
"Obrero (050)",596,130,,249,175,13,14,9,6
"Trabajador independiente (051)",1403,437,3,640,254,12,31,8,18
"Empleador o patrono (052)",723,241,3,323,142,4,9,,1
"Trabajador familiar no remunerado (053)",620,238,3,242,122,4,9,1,1
"Trabajador del hogar (054)",64,27,,23,13,1,,,
"Hombres (056)",2931,699,8,1284,651,44,134,30,81
"Empleado (057)",235,4,,25,35,17,81,13,60
"Obrero (058)",545,117,,230,158,12,14,8,6
"Trabajador independiente (059)",1152,308,3,567,218,9,26,8,13
"Empleador o patrono (060)",672,211,3,305,141,4,7,,1
"Trabajador familiar no remunerado (061)",327,59,2,157,99,2,6,1,1
"Mujeres (064)",858,387,1,230,133,26,44,10,27
"Empleado (065)",148,9,,12,43,19,34,9,22
"Obrero (066)",51,13,,19,17,1,,1,
"Trabajador independiente (067)",251,129,,73,36,3,5,,5
"Empleador o patrono (068)",51,30,,18,1,,2,,
"Trabajador familiar no remunerado (069)",293,179,1,85,23,2,3,,
"Trabajador del hogar (070)",64,27,,23,13,1,,,
