"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAURICOCHA (000)",32948,17029,3189,332,12506
"Quechua (001)",3415,1471,194,29,1729
"Aymara (002)",17,9,3,1,5
"Asháninka (003)",4,3,1,1,
"Otra lengua nativa (004)",8,3,,,5
"Castellano (005)",29481,15535,2991,301,10752
"Es Sordomudo/a (007)",23,8,,,15
"Hombres (009)",17103,8112,2193,238,6654
"Quechua (010)",1656,663,148,22,830
"Aymara (011)",6,2,3,1,1
"Asháninka (012)",2,2,,1,
"Otra lengua nativa (013)",4,2,,,2
"Castellano (014)",15427,7441,2042,214,5815
"Es Sordomudo/a (016)",8,2,,,6
"Mujeres (018)",15845,8917,996,94,5852
"Quechua (019)",1759,808,46,7,899
"Aymara (020)",11,7,,,4
"Asháninka (021)",2,1,1,,
"Otra lengua nativa (022)",4,1,,,3
"Castellano (023)",14054,8094,949,87,4937
"Es Sordomudo/a (025)",15,6,,,9
,,,,,
"URBANA (027)",7452,3559,1221,127,2559
"Quechua (028)",697,391,58,7,241
"Aymara (029)",4,1,2,,1
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",6747,3165,1161,120,2315
"Es Sordomudo/a (034)",3,2,,,1
"Hombres (036)",3697,1678,651,73,1306
"Quechua (037)",316,163,37,5,111
"Aymara (038)",2,,2,,
"Castellano (041)",3379,1515,612,68,1195
"Mujeres (045)",3755,1881,570,54,1253
"Quechua (046)",381,228,21,2,130
"Aymara (047)",2,1,,,1
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",3368,1650,549,52,1120
"Es Sordomudo/a (052)",3,2,,,1
,,,,,
"RURAL (054)",25496,13470,1968,205,9947
"Quechua (055)",2718,1080,136,22,1488
"Aymara (056)",13,8,1,1,4
"Asháninka (057)",4,3,1,1,
"Otra lengua nativa (058)",7,3,,,4
"Castellano (059)",22734,12370,1830,181,8437
"Es Sordomudo/a (061)",20,6,,,14
"Hombres (063)",13406,6434,1542,165,5348
"Quechua (064)",1340,500,111,17,719
"Aymara (065)",4,2,1,1,1
"Asháninka (066)",2,2,,1,
"Otra lengua nativa (067)",4,2,,,2
"Castellano (068)",12048,5926,1430,146,4620
"Es Sordomudo/a (070)",8,2,,,6
"Mujeres (072)",12090,7036,426,40,4599
"Quechua (073)",1378,580,25,5,769
"Aymara (074)",9,6,,,3
"Asháninka (075)",2,1,1,,
"Otra lengua nativa (076)",3,1,,,2
"Castellano (077)",10686,6444,400,35,3817
"Es Sordomudo/a (079)",12,4,,,8
