"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANCANE (000)",65473,12498,1484,26923,19489,1410,1491,1033,1145
"Jefe o Jefa (001)",22567,4667,6,9566,6162,456,771,271,668
"Esposa(o)/ compa¤era(o) (002)",11811,3280,7,5435,2605,115,195,60,114
"Hijo(a)/ hijastro(a) (003)",26143,3341,1304,10085,9356,731,411,628,287
"Yerno/ nuera (004)",592,7,1,136,337,32,36,20,23
"Nieto(a) (005)",1551,379,123,728,293,8,3,15,2
"Padres/ suegros (006)",633,450,,158,19,1,4,,1
"Otro(a) pariente (007)",1779,331,38,677,568,51,51,30,33
"Trabajador(a) del hogar (008)",27,1,,10,15,1,,,
"Pensionista (009)",1,,,,1,,,,
"Otro(a) no pariente (010)",369,42,5,128,133,15,20,9,17
"Hombres (012)",31540,3491,732,12793,11066,908,977,728,845
"Jefe o Jefa (013)",15351,1403,1,6958,5135,373,656,240,585
"Esposa(o)/ compa¤era(o) (014)",397,32,,111,179,23,20,13,19
"Hijo(a)/ hijastro(a) (015)",13612,1684,655,4872,5083,457,236,432,193
"Yerno/ nuera (016)",213,2,,26,128,10,21,10,16
"Nieto(a) (017)",760,180,57,359,151,4,1,7,1
"Padres/ suegros (018)",169,61,,94,9,1,3,,1
"Otro(a) pariente (019)",863,110,17,322,311,29,34,21,19
"Trabajador(a) del hogar (020)",10,,,2,8,,,,
"Pensionista (021)",1,,,,1,,,,
"Otro(a) no pariente (022)",164,19,2,49,61,11,6,5,11
"Mujeres (024)",33933,9007,752,14130,8423,502,514,305,300
"Jefe o Jefa (025)",7216,3264,5,2608,1027,83,115,31,83
"Esposa(o)/ compa¤era(o) (026)",11414,3248,7,5324,2426,92,175,47,95
"Hijo(a)/ hijastro(a) (027)",12531,1657,649,5213,4273,274,175,196,94
"Yerno/ nuera (028)",379,5,1,110,209,22,15,10,7
"Nieto(a) (029)",791,199,66,369,142,4,2,8,1
"Padres/ suegros (030)",464,389,,64,10,,1,,
"Otro(a) pariente (031)",916,221,21,355,257,22,17,9,14
"Trabajador(a) del hogar (032)",17,1,,8,7,1,,,
"Otro(a) no pariente (034)",205,23,3,79,72,4,14,4,6
,,,,,,,,,
"URBANA (036)",12440,1371,296,3917,4283,602,830,466,675
"Jefe o Jefa (037)",4205,401,2,1210,1422,219,434,134,383
"Esposa(o)/ compa¤era(o) (038)",1927,218,1,663,694,73,150,37,91
"Hijo(a)/ hijastro(a) (039)",4792,526,249,1550,1665,237,170,252,143
"Yerno/ nuera (040)",140,1,,13,63,16,22,12,13
"Nieto(a) (041)",289,69,27,123,60,4,1,5,
"Padres/ suegros (042)",121,62,,42,11,1,4,,1
"Otro(a) pariente (043)",658,65,12,224,247,36,29,18,27
"Trabajador(a) del hogar (044)",15,,,5,9,1,,,
"Pensionista (045)",1,,,,1,,,,
"Otro(a) no pariente (046)",292,29,5,87,111,15,20,8,17
"Hombres (048)",6113,454,138,1809,2172,327,467,293,453
