"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTA (000)",231,231,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",107,107,
"Casa pensión (003)",14,14,
"Hospital, clinica (004)",7,7,
"Cárcel, centro de readaptación social (005)",4,4,
"Aldea infantil, orfelinato, etc (007)",8,8,
"Otro (008)",81,81,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",10,10,
