"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PACHITEA (000)",32451,5301,11073,7540,8537
"Asiste actualmente (001)",17273,838,9700,5435,1300
"No asiste (002)",15178,4463,1373,2105,7237
"Hombres (004)",16282,2578,5630,3875,4199
"Asiste actualmente (005)",8950,393,4956,2849,752
"No asiste (006)",7332,2185,674,1026,3447
"Mujeres (008)",16169,2723,5443,3665,4338
"Asiste actualmente (009)",8323,445,4744,2586,548
"No asiste (010)",7846,2278,699,1079,3790
,,,,,
"URBANA (012)",4366,581,1380,1118,1287
"Asiste actualmente (013)",2906,161,1306,995,444
"No asiste (014)",1460,420,74,123,843
"Hombres (016)",2196,285,714,571,626
"Asiste actualmente (017)",1491,70,676,506,239
"No asiste (018)",705,215,38,65,387
"Mujeres (020)",2170,296,666,547,661
"Asiste actualmente (021)",1415,91,630,489,205
"No asiste (022)",755,205,36,58,456
,,,,,
"RURAL (024)",28085,4720,9693,6422,7250
"Asiste actualmente (025)",14367,677,8394,4440,856
"No asiste (026)",13718,4043,1299,1982,6394
"Hombres (028)",14086,2293,4916,3304,3573
"Asiste actualmente (029)",7459,323,4280,2343,513
"No asiste (030)",6627,1970,636,961,3060
"Mujeres (032)",13999,2427,4777,3118,3677
"Asiste actualmente (033)",6908,354,4114,2097,343
"No asiste (034)",7091,2073,663,1021,3334
