"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia PIURA",,,,,,,,,
"Hogares (001)",152486,5227,1786,1212,931,649,424,462,141795
"Ocupantes presentes (002)",661787,21431,6838,4300,3575,3013,2194,2834,617602
"Casa independiente",,,,,,,,,
"Hogares (004)",145330,5000,1723,1150,895,632,411,448,135071
"Ocupantes presentes (005)",636756,20716,6658,4116,3437,2933,2137,2779,593980
"Departamento en edificio",,,,,,,,,
"Hogares (007)",2533,139,36,24,18,7,9,5,2295
"Ocupantes presentes (008)",8660,438,90,68,66,30,33,17,7918
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",400,9,5,6,1,2,,,377
"Ocupantes presentes (011)",1325,30,13,23,4,12,,,1243
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",278,10,7,3,2,1,,1,254
"Ocupantes presentes (014)",1064,43,27,9,6,5,,7,967
"Choza o cabaña",,,,,,,,,
"Hogares (016)",957,6,,,1,1,3,1,945
"Ocupantes presentes (017)",4128,14,,,4,5,18,7,4080
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2848,57,15,28,13,6,1,7,2721
"Ocupantes presentes (020)",9507,177,50,83,54,28,6,24,9085
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",115,6,,1,1,,,,107
"Ocupantes presentes (023)",274,13,,1,4,,,,256
"Otro tipo",,,,,,,,,
"Hogares (025)",25,,,,,,,,25
"Ocupantes presentes (026)",73,,,,,,,,73
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",131711,5003,1685,1139,871,592,384,425,121612
"Ocupantes presentes (029)",569042,20533,6441,4060,3331,2738,1977,2592,527370
"Casa independiente",,,,,,,,,
"Hogares (031)",125519,4782,1622,1077,836,576,374,412,115840
"Ocupantes presentes (032)",548157,19832,6261,3876,3197,2663,1938,2544,507846
"Departamento en edificio",,,,,,,,,
"Hogares (034)",2533,139,36,24,18,7,9,5,2295
"Ocupantes presentes (035)",8660,438,90,68,66,30,33,17,7918
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",400,9,5,6,1,2,,,377
"Ocupantes presentes (038)",1325,30,13,23,4,12,,,1243
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",278,10,7,3,2,1,,1,254
"Ocupantes presentes (041)",1064,43,27,9,6,5,,7,967
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2848,57,15,28,13,6,1,7,2721
"Ocupantes presentes (047)",9507,177,50,83,54,28,6,24,9085
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",110,6,,1,1,,,,102
"Ocupantes presentes (050)",258,13,,1,4,,,,240
"Otro tipo",,,,,,,,,
"Hogares (052)",23,,,,,,,,23
"Ocupantes presentes (053)",71,,,,,,,,71
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",20775,224,101,73,60,57,40,37,20183
"Ocupantes presentes (056)",92745,898,397,240,244,275,217,242,90232
"Casa independiente",,,,,,,,,
"Hogares (058)",19811,218,101,73,59,56,37,36,19231
"Ocupantes presentes (059)",88599,884,397,240,240,270,199,235,86134
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",957,6,,,1,1,3,1,945
"Ocupantes presentes (071)",4128,14,,,4,5,18,7,4080
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",5,,,,,,,,5
"Ocupantes presentes (077)",16,,,,,,,,16
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",2,,,,,,,,2
